Category,Confirmed case,Year
April-24,1.00,2020
April-26,1.00,2020
April-30,1.00,2020
May-07,9.00,2020
May-09,2.00,2020
May-12,1.00,2020
June-02,1.00,2020
June-09,1.00,2020
June-10,16.00,2020
June-14,1.00,2020
June-15,1.00,2020
June-16,1.00,2020
June-20,2.00,2020
June-21,2.00,2020
June-23,3.00,2020
June-24,3.00,2020
June-25,1.00,2020
June-26,4.00,2020
June-27,3.00,2020
June-30,3.00,2020
July-01,3.00,2020
July-04,2.00,2020
July-07,15.00,2020
July-08,6.00,2020
July-09,48.00,2020
July-10,1.00,2020
July-11,3.00,2020
July-12,25.00,2020
July-13,26.00,2020
July-14,2.00,2020
July-16,61.00,2020
July-17,2.00,2020
July-18,1.00,2020
July-20,21.00,2020
July-21,4.00,2020
July-23,18.00,2020
July-24,61.00,2020
July-25,12.00,2020
July-28,32.00,2020
July-29,1.00,2020
July-30,2.00,2020
July-31,20.00,2020
August-03,3.00,2020
August-04,10.00,2020
August-05,26.00,2020
August-06,2.00,2020
August-07,26.00,2020
August-09,4.00,2020
August-10,1.00,2020
August-11,19.00,2020
August-12,4.00,2020
August-15,26.00,2020
August-16,6.00,2020
August-17,23.00,2020
August-18,3.00,2020
August-19,28.00,2020
August-20,5.00,2020
August-22,10.00,2020
August-23,11.00,2020
August-24,1.00,2020
August-25,4.00,2020
August-26,1.00,2020
August-27,23.00,2020
August-28,2.00,2020
August-30,15.00,2020
August-31,1.00,2020
September-01,1.00,2020
September-02,2.00,2020
September-03,11.00,2020
September-04,1.00,2020
September-05,1.00,2020
September-06,11.00,2020
September-08,10.00,2020
September-09,3.00,2020
September-10,1.00,2020
September-12,1.00,2020
September-13,10.00,2020
September-14,4.00,2020
September-17,3.00,2020
September-18,4.00,2020
September-20,1.00,2020
September-21,2.00,2020
September-22,4.00,2020
September-23,6.00,2020
September-24,4.00,2020
September-25,1.00,2020
September-26,4.00,2020
October-01,2.00,2020
October-04,3.00,2020
October-08,1.00,2020
October-10,1.00,2020
October-11,2.00,2020
October-14,1.00,2020
October-15,2.00,2020
October-16,1.00,2020
October-21,3.00,2020
October-23,1.00,2020
October-25,2.00,2020
October-26,3.00,2020
October-27,1.00,2020
October-28,12.00,2020
October-29,2.00,2020
October-30,1.00,2020
November-01,1.00,2020
November-02,1.00,2020
November-05,5.00,2020
November-06,1.00,2020
November-08,8.00,2020
November-10,1.00,2020
November-11,6.00,2020
November-12,1.00,2020
November-14,2.00,2020
November-15,1.00,2020
November-16,1.00,2020
November-17,2.00,2020
November-19,1.00,2020
November-20,2.00,2020
November-21,1.00,2020
November-22,1.00,2020
November-23,1.00,2020
November-24,1.00,2020
November-25,1.00,2020
November-26,3.00,2020
November-27,1.00,2020
November-29,1.00,2020
November-30,1.00,2020
December-02,1.00,2020
December-03,3.00,2020
December-04,1.00,2020
December-08,2.00,2020
December-09,1.00,2020
December-10,2.00,2020
December-12,1.00,2020
December-13,1.00,2020
December-14,4.00,2020
December-19,1.00,2020
December-22,3.00,2020
December-23,1.00,2020
December-25,1.00,2020
December-26,1.00,2020
December-27,1.00,2020
December-28,3.00,2020
January-02,1.00,2021
January-06,1.00,2021
January-10,1.00,2021
January-14,1.00,2021
January-21,1.00,2021
January-23,1.00,2021
January-30,2.00,2021
January-31,2.00,2021
February-01,1.00,2021
February-15,1.00,2021
February-17,1.00,2021
February-18,1.00,2021
February-20,2.00,2021
February-22,3.00,2021
February-24,1.00,2021
February-26,1.00,2021
February-28,2.00,2021
March-04,1.00,2021
March-05,1.00,2021
March-07,2.00,2021
March-08,1.00,2021
March-10,5.00,2021
March-11,5.00,2021
March-14,1.00,2021
March-15,3.00,2021
March-16,3.00,2021
March-20,1.00,2021
March-21,6.00,2021
March-22,1.00,2021
March-23,5.00,2021
March-24,2.00,2021
March-25,1.00,2021
March-26,2.00,2021
March-27,3.00,2021
March-28,1.00,2021
March-29,5.00,2021
March-30,9.00,2021
March-31,1.00,2021
April-01,2.00,2021
April-02,2.00,2021
April-03,1.00,2021
April-04,8.00,2021
April-05,11.00,2021
April-06,2.00,2021
April-07,1.00,2021
April-08,9.00,2021
April-09,2.00,2021
April-10,12.00,2021
April-11,3.00,2021
April-12,9.00,2021
April-13,1.00,2021
April-14,21.00,2021
April-17,8.00,2021
April-19,2.00,2021
April-20,19.00,2021
April-21,3.00,2021
April-22,1.00,2021
April-23,16.00,2021
April-24,12.00,2021
April-25,2.00,2021
April-26,5.00,2021
April-27,18.00,2021
April-28,1.00,2021
April-29,11.00,2021
April-30,5.00,2021
May-01,1.00,2021
May-02,2.00,2021
May-03,34.00,2021
May-05,1.00,2021
May-06,17.00,2021
May-07,6.00,2021
May-08,2.00,2021
May-09,5.00,2021
May-10,14.00,2021
May-11,21.00,2021
May-13,10.00,2021
May-14,2.00,2021
May-15,18.00,2021
May-16,13.00,2021
May-17,1.00,2021
May-18,21.00,2021
May-19,4.00,2021
May-20,52.00,2021
May-21,4.00,2021
May-22,4.00,2021
May-23,46.00,2021
May-24,11.00,2021
May-25,134.00,2021
May-26,36.00,2021
May-27,5.00,2021
May-28,1.00,2021
May-29,104.00,2021
May-30,50.00,2021
May-31,9.00,2021
June-01,150.00,2021
June-02,79.00,2021
June-03,83.00,2021
June-04,95.00,2021
June-05,108.00,2021
June-06,4.00,2021
June-07,101.00,2021
June-08,32.00,2021
June-09,58.00,2021
June-10,44.00,2021
June-11,17.00,2021
June-12,8.00,2021
June-13,4.00,2021
June-14,28.00,2021
June-15,35.00,2021
June-16,33.00,2021
June-17,64.00,2021
June-18,4.00,2021
June-19,64.00,2021
June-20,39.00,2021
June-21,24.00,2021
June-22,27.00,2021
June-23,11.00,2021
June-24,5.00,2021
June-25,18.00,2021
June-26,24.00,2021
June-27,21.00,2021
June-28,30.00,2021
June-29,3.00,2021
June-30,15.00,2021
July-01,27.00,2021
July-02,45.00,2021
July-03,34.00,2021
July-04,9.00,2021
July-05,13.00,2021
July-06,22.00,2021
July-07,27.00,2021
July-08,17.00,2021
July-09,11.00,2021
July-10,5.00,2021
July-11,6.00,2021
July-12,1.00,2021
July-13,32.00,2021
July-14,12.00,2021
July-15,28.00,2021
July-16,28.00,2021
July-17,4.00,2021
July-18,20.00,2021
July-19,1.00,2021
July-20,24.00,2021
July-21,17.00,2021
July-22,14.00,2021
July-23,3.00,2021
July-24,7.00,2021
July-25,7.00,2021
July-26,4.00,2021
July-27,11.00,2021
July-28,26.00,2021
July-29,6.00,2021
July-30,18.00,2021
July-31,14.00,2021
August-01,33.00,2021
August-02,3.00,2021
August-03,12.00,2021
August-04,29.00,2021
August-05,2.00,2021
August-06,18.00,2021
