Category,Confirmed case,Year
April-13,2.00,2020
April-14,2.00,2020
April-15,1.00,2020
April-22,1.00,2020
April-23,1.00,2020
April-24,2.00,2020
April-27,1.00,2020
April-28,1.00,2020
April-29,1.00,2020
April-30,1.00,2020
May-08,6.00,2020
May-12,3.00,2020
May-16,3.00,2020
May-17,5.00,2020
May-18,1.00,2020
May-19,2.00,2020
May-21,6.00,2020
May-22,9.00,2020
May-24,7.00,2020
May-25,2.00,2020
May-26,1.00,2020
May-27,2.00,2020
May-29,4.00,2020
May-30,2.00,2020
May-31,10.00,2020
June-01,3.00,2020
June-03,1.00,2020
June-04,2.00,2020
June-05,7.00,2020
June-06,2.00,2020
June-08,3.00,2020
June-09,4.00,2020
June-11,5.00,2020
June-12,4.00,2020
June-13,2.00,2020
June-14,7.00,2020
June-15,23.00,2020
June-16,2.00,2020
June-17,1.00,2020
June-19,1.00,2020
June-20,1.00,2020
June-21,4.00,2020
June-22,6.00,2020
June-23,11.00,2020
June-24,11.00,2020
June-26,19.00,2020
June-27,15.00,2020
June-28,8.00,2020
June-30,10.00,2020
July-01,5.00,2020
July-02,9.00,2020
July-03,10.00,2020
July-04,46.00,2020
July-05,27.00,2020
July-06,5.00,2020
July-07,6.00,2020
July-08,19.00,2020
July-09,15.00,2020
July-10,29.00,2020
July-11,14.00,2020
July-12,20.00,2020
July-13,3.00,2020
July-14,16.00,2020
July-15,13.00,2020
July-16,45.00,2020
July-17,6.00,2020
July-18,34.00,2020
July-19,15.00,2020
July-20,22.00,2020
July-22,50.00,2020
July-23,9.00,2020
July-24,9.00,2020
July-25,6.00,2020
July-26,30.00,2020
July-27,24.00,2020
July-28,13.00,2020
July-29,27.00,2020
July-30,11.00,2020
July-31,16.00,2020
August-01,1.00,2020
August-02,1.00,2020
August-03,12.00,2020
August-04,6.00,2020
August-05,2.00,2020
August-06,12.00,2020
August-07,8.00,2020
August-08,14.00,2020
August-09,4.00,2020
August-10,18.00,2020
August-11,16.00,2020
August-12,5.00,2020
August-13,14.00,2020
August-14,27.00,2020
August-15,2.00,2020
August-16,2.00,2020
August-17,8.00,2020
August-18,21.00,2020
August-19,10.00,2020
August-20,10.00,2020
August-21,22.00,2020
August-22,2.00,2020
August-24,26.00,2020
August-25,16.00,2020
August-26,10.00,2020
August-27,12.00,2020
August-28,10.00,2020
August-29,2.00,2020
August-30,4.00,2020
August-31,16.00,2020
