Category,Confirmed case,Year
April-10,1.00,2020
April-12,1.00,2020
April-20,1.00,2020
April-21,1.00,2020
April-25,4.00,2020
April-26,1.00,2020
April-30,1.00,2020
May-06,1.00,2020
May-07,2.00,2020
May-09,1.00,2020
May-18,1.00,2020
May-20,1.00,2020
May-27,2.00,2020
May-28,2.00,2020
May-29,8.00,2020
May-30,1.00,2020
May-31,1.00,2020
June-01,3.00,2020
June-02,6.00,2020
June-03,2.00,2020
June-04,3.00,2020
June-08,1.00,2020
June-09,1.00,2020
June-10,2.00,2020
June-11,1.00,2020
June-12,1.00,2020
June-13,1.00,2020
June-14,3.00,2020
June-15,6.00,2020
June-16,3.00,2020
June-17,3.00,2020
June-19,1.00,2020
June-20,11.00,2020
June-21,14.00,2020
June-22,26.00,2020
June-23,24.00,2020
June-24,30.00,2020
June-25,41.00,2020
June-26,11.00,2020
June-27,23.00,2020
June-28,67.00,2020
June-29,50.00,2020
June-30,27.00,2020
July-01,48.00,2020
July-02,73.00,2020
July-03,35.00,2020
July-05,67.00,2020
July-06,36.00,2020
July-07,27.00,2020
July-08,52.00,2020
July-10,36.00,2020
July-11,33.00,2020
July-12,39.00,2020
July-13,42.00,2020
July-14,41.00,2020
July-15,43.00,2020
July-16,45.00,2020
July-17,27.00,2020
July-18,21.00,2020
July-19,31.00,2020
July-20,51.00,2020
July-21,57.00,2020
July-22,39.00,2020
July-23,39.00,2020
July-24,32.00,2020
July-25,35.00,2020
July-26,28.00,2020
July-27,59.00,2020
July-28,44.00,2020
July-29,11.00,2020
July-30,55.00,2020
July-31,21.00,2020
August-01,22.00,2020
August-03,33.00,2020
August-04,22.00,2020
August-05,16.00,2020
August-06,33.00,2020
August-07,15.00,2020
August-08,24.00,2020
August-09,13.00,2020
August-10,43.00,2020
August-11,31.00,2020
August-12,16.00,2020
August-13,31.00,2020
August-14,22.00,2020
August-15,21.00,2020
August-16,20.00,2020
August-17,17.00,2020
August-18,34.00,2020
August-19,12.00,2020
August-20,22.00,2020
August-21,16.00,2020
August-22,12.00,2020
August-23,16.00,2020
August-24,16.00,2020
August-25,14.00,2020
August-26,25.00,2020
August-27,15.00,2020
August-28,19.00,2020
August-29,14.00,2020
August-30,7.00,2020
August-31,13.00,2020
September-01,19.00,2020
September-02,6.00,2020
September-03,21.00,2020
September-04,2.00,2020
September-05,8.00,2020
September-06,11.00,2020
September-07,3.00,2020
September-08,3.00,2020
September-09,12.00,2020
September-10,14.00,2020
September-11,10.00,2020
September-12,12.00,2020
September-13,20.00,2020
September-14,14.00,2020
September-15,21.00,2020
September-16,10.00,2020
September-17,10.00,2020
September-18,14.00,2020
September-19,22.00,2020
September-20,8.00,2020
September-21,8.00,2020
September-22,16.00,2020
September-23,10.00,2020
September-24,10.00,2020
September-25,3.00,2020
September-26,3.00,2020
September-27,5.00,2020
September-28,10.00,2020
September-29,6.00,2020
September-30,13.00,2020
October-01,7.00,2020
October-02,13.00,2020
October-03,4.00,2020
October-04,2.00,2020
October-05,15.00,2020
October-06,1.00,2020
October-07,4.00,2020
October-08,17.00,2020
October-09,5.00,2020
October-11,4.00,2020
October-12,2.00,2020
October-14,7.00,2020
October-15,1.00,2020
October-16,3.00,2020
October-17,9.00,2020
October-18,12.00,2020
October-19,1.00,2020
October-20,5.00,2020
October-21,6.00,2020
October-22,4.00,2020
October-23,9.00,2020
October-24,3.00,2020
October-25,9.00,2020
October-26,6.00,2020
October-27,8.00,2020
October-28,1.00,2020
October-29,5.00,2020
October-30,2.00,2020
October-31,6.00,2020
November-01,5.00,2020
November-02,3.00,2020
November-03,5.00,2020
November-04,4.00,2020
November-05,2.00,2020
November-06,2.00,2020
November-07,2.00,2020
November-08,10.00,2020
November-09,10.00,2020
November-10,8.00,2020
November-11,4.00,2020
November-12,2.00,2020
November-13,5.00,2020
November-14,2.00,2020
November-15,5.00,2020
November-16,6.00,2020
November-17,6.00,2020
November-18,10.00,2020
November-19,5.00,2020
November-20,5.00,2020
November-21,7.00,2020
November-22,8.00,2020
November-23,2.00,2020
November-24,14.00,2020
November-25,11.00,2020
November-26,10.00,2020
November-27,11.00,2020
November-28,4.00,2020
November-29,1.00,2020
November-30,11.00,2020
December-01,5.00,2020
December-02,9.00,2020
December-03,11.00,2020
December-04,18.00,2020
December-05,2.00,2020
December-06,2.00,2020
December-07,19.00,2020
December-08,14.00,2020
December-09,13.00,2020
December-10,15.00,2020
December-11,4.00,2020
December-12,8.00,2020
December-13,8.00,2020
December-14,9.00,2020
December-15,8.00,2020
December-16,4.00,2020
December-17,4.00,2020
December-18,10.00,2020
December-20,10.00,2020
December-21,11.00,2020
December-22,5.00,2020
December-23,9.00,2020
December-24,8.00,2020
December-25,10.00,2020
December-26,11.00,2020
December-27,1.00,2020
December-28,28.00,2020
December-29,13.00,2020
December-30,11.00,2020
December-31,9.00,2020
January-02,5.00,2021
January-03,3.00,2021
January-04,9.00,2021
January-05,5.00,2021
January-06,8.00,2021
January-07,10.00,2021
January-08,11.00,2021
January-09,6.00,2021
January-10,1.00,2021
January-11,8.00,2021
January-12,18.00,2021
January-13,3.00,2021
January-14,11.00,2021
January-15,7.00,2021
January-16,2.00,2021
January-17,1.00,2021
January-18,8.00,2021
January-19,10.00,2021
January-20,4.00,2021
January-21,3.00,2021
January-22,6.00,2021
January-24,5.00,2021
January-25,6.00,2021
January-26,3.00,2021
January-27,8.00,2021
January-28,3.00,2021
January-29,1.00,2021
January-30,8.00,2021
January-31,2.00,2021
February-01,9.00,2021
February-02,6.00,2021
February-03,5.00,2021
February-04,11.00,2021
February-05,6.00,2021
February-06,1.00,2021
February-08,6.00,2021
February-09,4.00,2021
February-10,2.00,2021
February-11,3.00,2021
February-13,4.00,2021
February-14,1.00,2021
February-15,5.00,2021
February-17,1.00,2021
February-18,7.00,2021
February-19,1.00,2021
February-20,3.00,2021
February-21,3.00,2021
February-22,1.00,2021
February-23,2.00,2021
February-24,1.00,2021
February-25,3.00,2021
February-26,1.00,2021
February-27,1.00,2021
February-28,1.00,2021
March-01,1.00,2021
March-02,4.00,2021
March-03,2.00,2021
March-04,5.00,2021
March-05,1.00,2021
March-06,3.00,2021
March-07,6.00,2021
March-08,4.00,2021
March-09,1.00,2021
March-11,4.00,2021
March-12,2.00,2021
March-13,2.00,2021
March-14,4.00,2021
March-15,5.00,2021
March-16,7.00,2021
March-17,1.00,2021
March-18,7.00,2021
March-19,5.00,2021
March-20,1.00,2021
March-21,3.00,2021
March-22,11.00,2021
March-23,6.00,2021
March-24,10.00,2021
March-25,5.00,2021
March-26,7.00,2021
March-27,5.00,2021
March-28,9.00,2021
March-29,18.00,2021
March-30,19.00,2021
March-31,9.00,2021
April-01,29.00,2021
April-02,23.00,2021
April-03,7.00,2021
April-04,19.00,2021
April-05,27.00,2021
April-06,27.00,2021
April-07,19.00,2021
April-08,23.00,2021
April-09,20.00,2021
April-10,17.00,2021
April-11,12.00,2021
April-12,31.00,2021
April-13,42.00,2021
April-14,8.00,2021
April-15,3.00,2021
April-16,5.00,2021
April-17,26.00,2021
April-18,47.00,2021
April-19,21.00,2021
April-20,9.00,2021
April-21,36.00,2021
April-22,28.00,2021
April-23,30.00,2021
April-24,27.00,2021
April-25,28.00,2021
April-26,39.00,2021
April-27,22.00,2021
April-28,28.00,2021
April-29,12.00,2021
April-30,21.00,2021
May-01,16.00,2021
May-02,24.00,2021
May-03,13.00,2021
May-04,7.00,2021
May-05,7.00,2021
May-06,19.00,2021
May-07,4.00,2021
May-08,3.00,2021
May-09,18.00,2021
May-10,20.00,2021
May-11,10.00,2021
May-12,5.00,2021
May-13,8.00,2021
May-14,6.00,2021
May-16,1.00,2021
May-17,13.00,2021
May-18,29.00,2021
May-19,5.00,2021
May-20,13.00,2021
May-21,10.00,2021
May-22,11.00,2021
May-23,16.00,2021
May-24,11.00,2021
May-25,2.00,2021
May-26,7.00,2021
May-27,20.00,2021
May-28,3.00,2021
May-29,7.00,2021
May-30,22.00,2021
May-31,22.00,2021
June-01,24.00,2021
June-02,14.00,2021
June-03,7.00,2021
June-04,3.00,2021
June-05,14.00,2021
June-06,14.00,2021
June-07,10.00,2021
June-08,16.00,2021
June-09,18.00,2021
June-10,17.00,2021
June-11,20.00,2021
June-12,6.00,2021
June-13,18.00,2021
June-14,22.00,2021
June-15,29.00,2021
June-16,25.00,2021
June-17,9.00,2021
June-18,26.00,2021
June-19,6.00,2021
June-20,26.00,2021
June-21,11.00,2021
June-22,50.00,2021
June-23,29.00,2021
June-24,49.00,2021
June-25,64.00,2021
June-26,73.00,2021
June-27,49.00,2021
June-28,84.00,2021
June-29,85.00,2021
June-30,67.00,2021
July-01,30.00,2021
July-02,76.00,2021
July-03,73.00,2021
July-04,42.00,2021
July-05,62.00,2021
July-06,126.00,2021
July-07,85.00,2021
July-08,139.00,2021
July-09,156.00,2021
July-10,171.00,2021
July-11,62.00,2021
July-12,97.00,2021
July-13,156.00,2021
July-14,138.00,2021
July-15,105.00,2021
July-16,56.00,2021
July-17,119.00,2021
July-18,99.00,2021
July-19,148.00,2021
July-20,130.00,2021
July-21,97.00,2021
July-22,72.00,2021
July-23,66.00,2021
July-24,33.00,2021
July-25,96.00,2021
July-26,130.00,2021
July-27,105.00,2021
July-28,145.00,2021
July-29,167.00,2021
July-30,36.00,2021
July-31,144.00,2021
August-01,112.00,2021
August-02,162.00,2021
August-03,137.00,2021
August-04,101.00,2021
August-05,90.00,2021
August-06,105.00,2021
August-07,125.00,2021
August-08,139.00,2021
August-09,103.00,2021
August-10,103.00,2021
August-11,85.00,2021
August-12,92.00,2021
August-13,76.00,2021
August-14,99.00,2021
August-15,105.00,2021
August-16,16.00,2021
August-17,12.00,2021
August-18,17.00,2021
August-19,17.00,2021
August-20,2.00,2021
August-21,18.00,2021
August-22,131.00,2021
August-23,20.00,2021
August-24,41.00,2021
August-25,30.00,2021
August-26,37.00,2021
August-27,21.00,2021
August-28,23.00,2021
August-29,14.00,2021
August-30,39.00,2021
August-31,28.00,2021
September-01,21.00,2021
September-02,16.00,2021
September-03,10.00,2021
September-04,15.00,2021
September-05,25.00,2021
September-06,12.00,2021
September-07,14.00,2021
September-08,11.00,2021
September-09,18.00,2021
September-10,10.00,2021
September-11,8.00,2021
September-12,3.00,2021
September-13,13.00,2021
September-14,10.00,2021
September-15,12.00,2021
September-16,10.00,2021
September-17,3.00,2021
September-18,3.00,2021
September-19,14.00,2021
September-20,9.00,2021
September-21,11.00,2021
September-22,3.00,2021
September-23,10.00,2021
September-24,3.00,2021
September-25,7.00,2021
September-26,12.00,2021
September-27,8.00,2021
September-28,4.00,2021
September-29,1.00,2021
September-30,6.00,2021
October-01,4.00,2021
October-02,4.00,2021
October-03,4.00,2021
October-04,3.00,2021
October-05,10.00,2021
October-06,1.00,2021
October-07,17.00,2021
October-08,1.00,2021
October-09,1.00,2021
October-10,2.00,2021
October-11,5.00,2021
October-12,1.00,2021
October-13,4.00,2021
October-14,4.00,2021
October-15,1.00,2021
October-19,1.00,2021
October-20,2.00,2021
October-21,1.00,2021
October-23,1.00,2021
October-24,4.00,2021
October-26,1.00,2021
October-27,3.00,2021
October-28,5.00,2021
October-31,1.00,2021
November-02,2.00,2021
November-03,1.00,2021
November-06,3.00,2021
November-09,1.00,2021
November-11,2.00,2021
November-14,1.00,2021
November-15,3.00,2021
November-18,2.00,2021
November-21,1.00,2021
November-24,1.00,2021
November-25,2.00,2021
November-27,2.00,2021
November-29,2.00,2021
December-02,1.00,2021
December-04,3.00,2021
December-06,2.00,2021
December-08,2.00,2021
December-09,2.00,2021
December-11,2.00,2021
December-13,2.00,2021
December-14,3.00,2021
December-15,3.00,2021
December-16,1.00,2021
December-19,1.00,2021
December-20,1.00,2021
December-22,4.00,2021
December-26,2.00,2021
December-27,4.00,2021
December-28,2.00,2021
December-29,2.00,2021
January-01,3.00,2022
January-02,3.00,2022
January-03,1.00,2022
January-04,3.00,2022
January-05,3.00,2022
January-06,4.00,2022
January-07,2.00,2022
January-08,2.00,2022
January-09,2.00,2022
January-10,5.00,2022
January-11,3.00,2022
January-12,11.00,2022
January-13,4.00,2022
January-14,9.00,2022
January-15,17.00,2022
January-16,14.00,2022
January-17,29.00,2022
January-18,15.00,2022
January-19,49.00,2022
January-20,44.00,2022
January-21,7.00,2022
January-22,70.00,2022
January-23,74.00,2022
January-24,72.00,2022
January-25,126.00,2022
January-26,100.00,2022
January-27,106.00,2022
January-28,28.00,2022
January-29,82.00,2022
January-30,77.00,2022
January-31,90.00,2022
February-01,77.00,2022
February-02,83.00,2022
February-03,59.00,2022
February-04,24.00,2022
February-05,85.00,2022
February-06,52.00,2022
February-07,51.00,2022
February-08,60.00,2022
February-09,57.00,2022
February-10,45.00,2022
February-11,10.00,2022
February-12,32.00,2022
February-13,13.00,2022
February-14,31.00,2022
February-15,14.00,2022
February-16,15.00,2022
February-17,21.00,2022
February-18,7.00,2022
February-19,7.00,2022
February-20,10.00,2022
February-21,3.00,2022
February-22,5.00,2022
February-23,12.00,2022
February-24,8.00,2022
February-25,3.00,2022
February-27,3.00,2022
February-28,4.00,2022
March-01,8.00,2022
March-02,1.00,2022
March-03,2.00,2022
March-04,2.00,2022
March-05,1.00,2022
March-07,2.00,2022
March-08,6.00,2022
March-10,3.00,2022
