Category,Confirmed case,Year
April-06,2.00,2020
April-07,1.00,2020
April-10,1.00,2020
April-14,5.00,2020
April-16,1.00,2020
April-18,1.00,2020
April-21,1.00,2020
April-23,1.00,2020
April-24,3.00,2020
April-25,1.00,2020
April-26,5.00,2020
April-27,1.00,2020
April-28,1.00,2020
April-29,2.00,2020
April-30,1.00,2020
May-01,8.00,2020
May-02,3.00,2020
May-03,2.00,2020
May-07,6.00,2020
May-09,2.00,2020
May-17,6.00,2020
May-19,2.00,2020
May-23,3.00,2020
May-24,6.00,2020
May-27,7.00,2020
May-28,3.00,2020
May-29,2.00,2020
May-30,19.00,2020
May-31,6.00,2020
June-03,18.00,2020
June-04,9.00,2020
June-05,1.00,2020
June-06,19.00,2020
June-07,12.00,2020
June-08,44.00,2020
June-09,17.00,2020
June-10,1.00,2020
June-11,22.00,2020
June-12,57.00,2020
June-14,24.00,2020
June-15,48.00,2020
June-16,53.00,2020
June-17,22.00,2020
June-18,22.00,2020
June-19,1.00,2020
June-20,59.00,2020
June-21,25.00,2020
June-23,1.00,2020
June-24,6.00,2020
June-25,39.00,2020
June-26,2.00,2020
June-27,43.00,2020
June-28,61.00,2020
June-29,24.00,2020
June-30,24.00,2020
July-01,47.00,2020
July-02,18.00,2020
July-03,44.00,2020
July-04,4.00,2020
July-05,12.00,2020
July-06,1.00,2020
July-07,33.00,2020
July-08,2.00,2020
July-09,32.00,2020
July-10,2.00,2020
July-11,30.00,2020
July-12,1.00,2020
July-13,82.00,2020
July-14,2.00,2020
July-15,24.00,2020
July-16,1.00,2020
July-17,21.00,2020
July-18,1.00,2020
July-19,1.00,2020
July-20,23.00,2020
July-21,11.00,2020
July-22,7.00,2020
July-23,30.00,2020
July-24,1.00,2020
July-25,4.00,2020
July-26,12.00,2020
July-27,19.00,2020
July-28,9.00,2020
July-29,28.00,2020
July-30,3.00,2020
July-31,20.00,2020
August-02,2.00,2020
August-03,1.00,2020
August-04,1.00,2020
August-05,12.00,2020
August-06,1.00,2020
August-07,14.00,2020
