Category,Confirmed case,Year
April-15,1.00,2020
May-18,2.00,2020
May-21,6.00,2020
May-23,2.00,2020
May-25,1.00,2020
May-26,9.00,2020
May-30,1.00,2020
June-08,17.00,2020
June-13,8.00,2020
June-14,4.00,2020
June-19,7.00,2020
June-21,19.00,2020
June-22,11.00,2020
June-25,3.00,2020
June-26,5.00,2020
June-27,12.00,2020
June-28,5.00,2020
June-29,1.00,2020
June-30,2.00,2020
July-01,11.00,2020
July-02,2.00,2020
July-03,7.00,2020
July-04,9.00,2020
July-05,1.00,2020
July-08,1.00,2020
July-09,8.00,2020
July-10,8.00,2020
July-11,7.00,2020
July-12,1.00,2020
July-13,2.00,2020
July-14,39.00,2020
July-15,16.00,2020
July-16,23.00,2020
July-18,7.00,2020
July-20,15.00,2020
July-22,19.00,2020
July-23,1.00,2020
July-24,6.00,2020
July-25,14.00,2020
July-26,14.00,2020
July-28,20.00,2020
August-05,14.00,2020
August-07,11.00,2020
August-09,13.00,2020
August-11,12.00,2020
August-12,1.00,2020
August-13,9.00,2020
August-15,10.00,2020
August-16,2.00,2020
August-17,9.00,2020
August-20,7.00,2020
August-22,8.00,2020
August-24,3.00,2020
August-26,1.00,2020
August-27,8.00,2020
August-30,7.00,2020
September-02,8.00,2020
September-05,5.00,2020
September-07,5.00,2020
September-09,5.00,2020
September-11,3.00,2020
September-14,6.00,2020
September-16,2.00,2020
September-18,2.00,2020
September-19,1.00,2020
September-22,2.00,2020
September-23,8.00,2020
September-28,2.00,2020
October-01,1.00,2020
October-02,1.00,2020
October-05,6.00,2020
October-07,2.00,2020
October-09,6.00,2020
October-12,8.00,2020
October-13,1.00,2020
October-14,3.00,2020
October-16,1.00,2020
October-19,2.00,2020
October-21,1.00,2020
October-23,1.00,2020
October-25,1.00,2020
October-27,2.00,2020
October-29,1.00,2020
November-01,1.00,2020
November-03,1.00,2020
November-04,1.00,2020
November-08,1.00,2020
November-10,1.00,2020
November-12,2.00,2020
November-13,5.00,2020
November-17,2.00,2020
November-18,5.00,2020
November-24,4.00,2020
November-30,10.00,2020
December-03,4.00,2020
December-04,7.00,2020
December-06,1.00,2020
December-07,5.00,2020
December-09,10.00,2020
December-10,1.00,2020
December-11,4.00,2020
December-13,1.00,2020
December-15,1.00,2020
December-16,4.00,2020
December-17,4.00,2020
December-18,5.00,2020
December-20,1.00,2020
December-22,3.00,2020
December-24,2.00,2020
December-28,1.00,2020
December-29,4.00,2020
December-30,1.00,2020
December-31,2.00,2020
January-03,1.00,2021
January-07,1.00,2021
January-10,2.00,2021
January-16,1.00,2021
January-18,1.00,2021
January-21,1.00,2021
January-23,1.00,2021
January-26,1.00,2021
February-13,1.00,2021
February-26,1.00,2021
February-28,1.00,2021
March-11,1.00,2021
March-13,1.00,2021
