Category,Confirmed case,Year
April-22,1.00,2020
April-30,1.00,2020
May-05,4.00,2020
May-07,1.00,2020
May-12,2.00,2020
May-18,1.00,2020
May-20,1.00,2020
May-26,1.00,2020
May-29,1.00,2020
May-31,5.00,2020
June-02,1.00,2020
June-06,2.00,2020
June-07,6.00,2020
June-08,4.00,2020
June-09,5.00,2020
June-10,1.00,2020
June-11,2.00,2020
June-12,12.00,2020
June-13,9.00,2020
June-14,4.00,2020
June-15,7.00,2020
June-16,14.00,2020
June-18,6.00,2020
June-19,3.00,2020
June-20,1.00,2020
June-22,7.00,2020
June-23,4.00,2020
June-25,18.00,2020
June-27,26.00,2020
June-29,11.00,2020
June-30,13.00,2020
July-01,28.00,2020
July-02,44.00,2020
July-03,15.00,2020
July-04,13.00,2020
July-05,16.00,2020
July-06,24.00,2020
July-07,41.00,2020
July-08,35.00,2020
July-09,14.00,2020
July-10,13.00,2020
July-11,24.00,2020
July-12,38.00,2020
July-13,37.00,2020
July-14,32.00,2020
July-15,18.00,2020
July-16,20.00,2020
July-17,9.00,2020
July-18,2.00,2020
July-19,19.00,2020
July-20,12.00,2020
July-21,14.00,2020
July-22,61.00,2020
July-23,2.00,2020
July-24,26.00,2020
July-25,37.00,2020
July-26,8.00,2020
July-27,34.00,2020
July-29,34.00,2020
July-30,42.00,2020
July-31,34.00,2020
August-01,9.00,2020
August-02,3.00,2020
August-03,2.00,2020
August-04,1.00,2020
August-05,32.00,2020
August-06,8.00,2020
August-08,22.00,2020
August-09,3.00,2020
August-10,22.00,2020
August-11,23.00,2020
August-12,45.00,2020
August-13,17.00,2020
August-14,19.00,2020
August-15,32.00,2020
August-16,16.00,2020
August-17,20.00,2020
August-18,1.00,2020
August-19,30.00,2020
August-21,1.00,2020
August-22,2.00,2020
August-23,77.00,2020
August-24,3.00,2020
August-25,34.00,2020
August-26,41.00,2020
August-27,20.00,2020
August-28,20.00,2020
August-29,24.00,2020
August-30,1.00,2020
August-31,31.00,2020
