Category,Confirmed case,Year
May-15,1.00,2020
May-16,1.00,2020
May-19,17.00,2020
May-21,3.00,2020
May-23,7.00,2020
May-24,2.00,2020
May-25,1.00,2020
May-27,2.00,2020
May-30,2.00,2020
June-01,8.00,2020
June-02,1.00,2020
June-03,1.00,2020
June-04,1.00,2020
June-06,1.00,2020
June-07,7.00,2020
June-08,2.00,2020
June-13,1.00,2020
June-14,1.00,2020
June-15,16.00,2020
June-16,5.00,2020
June-17,18.00,2020
June-21,29.00,2020
June-22,20.00,2020
June-23,2.00,2020
June-24,1.00,2020
June-25,9.00,2020
June-26,8.00,2020
June-27,4.00,2020
June-30,44.00,2020
July-01,42.00,2020
July-02,3.00,2020
July-03,4.00,2020
July-04,16.00,2020
July-07,3.00,2020
July-08,5.00,2020
July-09,10.00,2020
July-10,1.00,2020
July-11,8.00,2020
July-13,4.00,2020
July-14,22.00,2020
July-15,10.00,2020
July-16,40.00,2020
July-18,16.00,2020
July-19,1.00,2020
July-20,36.00,2020
July-22,29.00,2020
July-23,2.00,2020
July-24,14.00,2020
July-25,1.00,2020
July-26,10.00,2020
July-28,16.00,2020
July-30,1.00,2020
August-05,24.00,2020
August-06,2.00,2020
August-07,15.00,2020
August-09,25.00,2020
August-11,16.00,2020
August-12,8.00,2020
August-13,5.00,2020
August-15,12.00,2020
August-16,12.00,2020
August-17,8.00,2020
August-18,10.00,2020
August-19,6.00,2020
August-20,9.00,2020
August-22,13.00,2020
August-23,4.00,2020
August-24,3.00,2020
August-25,4.00,2020
August-26,9.00,2020
August-27,14.00,2020
August-29,6.00,2020
August-31,10.00,2020
September-01,6.00,2020
September-02,5.00,2020
September-03,1.00,2020
September-05,6.00,2020
September-06,5.00,2020
September-07,3.00,2020
September-08,4.00,2020
September-09,1.00,2020
September-10,1.00,2020
September-12,2.00,2020
September-13,3.00,2020
September-14,4.00,2020
September-15,5.00,2020
September-16,2.00,2020
September-17,1.00,2020
September-19,3.00,2020
September-20,2.00,2020
September-21,2.00,2020
September-22,6.00,2020
September-23,1.00,2020
September-24,1.00,2020
September-25,1.00,2020
September-26,3.00,2020
September-27,3.00,2020
September-28,3.00,2020
September-29,2.00,2020
September-30,4.00,2020
October-01,1.00,2020
October-02,1.00,2020
October-03,2.00,2020
October-04,2.00,2020
October-05,3.00,2020
October-06,3.00,2020
October-07,2.00,2020
October-11,4.00,2020
October-12,1.00,2020
October-13,5.00,2020
October-14,1.00,2020
October-15,1.00,2020
October-18,2.00,2020
October-19,1.00,2020
October-25,1.00,2020
October-27,1.00,2020
October-29,4.00,2020
October-30,1.00,2020
October-31,1.00,2020
November-01,1.00,2020
November-02,3.00,2020
November-04,2.00,2020
November-07,6.00,2020
November-08,1.00,2020
November-09,6.00,2020
November-10,5.00,2020
November-11,6.00,2020
November-12,5.00,2020
November-14,2.00,2020
November-15,10.00,2020
November-16,2.00,2020
November-17,7.00,2020
November-18,9.00,2020
November-19,5.00,2020
November-21,8.00,2020
November-22,4.00,2020
November-23,6.00,2020
November-24,1.00,2020
November-25,1.00,2020
November-26,6.00,2020
November-28,12.00,2020
November-29,6.00,2020
November-30,2.00,2020
December-01,4.00,2020
December-02,10.00,2020
December-03,3.00,2020
December-05,6.00,2020
December-06,7.00,2020
December-07,4.00,2020
December-08,9.00,2020
December-09,6.00,2020
December-10,4.00,2020
December-12,7.00,2020
December-13,4.00,2020
December-14,3.00,2020
December-15,2.00,2020
December-16,2.00,2020
December-18,1.00,2020
December-19,2.00,2020
December-22,4.00,2020
December-23,2.00,2020
December-24,8.00,2020
December-26,4.00,2020
December-29,1.00,2020
December-30,1.00,2020
January-02,4.00,2021
January-03,2.00,2021
January-04,3.00,2021
January-05,1.00,2021
January-06,11.00,2021
January-07,7.00,2021
January-09,1.00,2021
January-11,9.00,2021
January-12,1.00,2021
January-13,4.00,2021
January-14,2.00,2021
January-16,7.00,2021
January-17,7.00,2021
January-18,2.00,2021
January-19,1.00,2021
January-20,4.00,2021
January-21,2.00,2021
January-23,2.00,2021
January-25,3.00,2021
January-28,1.00,2021
January-30,2.00,2021
January-31,1.00,2021
February-03,3.00,2021
February-04,1.00,2021
February-05,1.00,2021
February-06,1.00,2021
February-07,1.00,2021
February-08,7.00,2021
February-09,1.00,2021
February-10,1.00,2021
February-11,1.00,2021
February-13,3.00,2021
February-15,1.00,2021
February-16,2.00,2021
February-20,2.00,2021
February-23,1.00,2021
February-24,2.00,2021
February-25,3.00,2021
February-27,4.00,2021
February-28,3.00,2021
March-01,6.00,2021
March-02,1.00,2021
March-03,1.00,2021
March-04,2.00,2021
March-06,2.00,2021
March-07,1.00,2021
March-09,1.00,2021
March-10,1.00,2021
March-12,1.00,2021
March-14,2.00,2021
March-15,3.00,2021
March-16,1.00,2021
March-18,2.00,2021
March-21,4.00,2021
March-22,1.00,2021
March-23,7.00,2021
March-24,3.00,2021
March-25,3.00,2021
March-26,1.00,2021
March-27,7.00,2021
March-28,6.00,2021
March-29,11.00,2021
March-30,1.00,2021
March-31,15.00,2021
April-01,2.00,2021
April-02,1.00,2021
April-03,4.00,2021
April-04,8.00,2021
April-05,12.00,2021
April-06,9.00,2021
April-07,4.00,2021
April-08,2.00,2021
April-09,1.00,2021
April-10,8.00,2021
April-11,8.00,2021
April-12,4.00,2021
April-13,5.00,2021
April-15,3.00,2021
April-17,8.00,2021
April-19,5.00,2021
April-20,1.00,2021
April-21,2.00,2021
April-22,2.00,2021
April-23,1.00,2021
April-24,4.00,2021
April-25,2.00,2021
April-26,1.00,2021
April-27,5.00,2021
April-28,2.00,2021
April-29,2.00,2021
May-02,1.00,2021
May-04,1.00,2021
May-07,1.00,2021
May-08,3.00,2021
May-11,1.00,2021
May-12,2.00,2021
May-13,2.00,2021
May-16,2.00,2021
May-17,3.00,2021
May-19,2.00,2021
May-20,1.00,2021
May-22,6.00,2021
May-23,11.00,2021
May-24,7.00,2021
May-25,2.00,2021
May-27,4.00,2021
May-29,2.00,2021
May-30,2.00,2021
June-01,1.00,2021
June-02,3.00,2021
June-03,4.00,2021
June-04,1.00,2021
June-06,3.00,2021
June-07,2.00,2021
June-08,1.00,2021
June-09,4.00,2021
June-10,1.00,2021
June-11,3.00,2021
June-12,3.00,2021
June-13,5.00,2021
June-14,2.00,2021
June-15,4.00,2021
June-16,3.00,2021
June-17,4.00,2021
June-19,2.00,2021
June-20,2.00,2021
June-21,4.00,2021
June-22,5.00,2021
June-23,1.00,2021
June-24,5.00,2021
June-26,13.00,2021
June-27,23.00,2021
June-28,13.00,2021
June-29,18.00,2021
June-30,13.00,2021
July-01,21.00,2021
July-03,20.00,2021
July-04,13.00,2021
July-05,17.00,2021
July-06,11.00,2021
July-07,6.00,2021
July-08,20.00,2021
July-10,26.00,2021
July-11,28.00,2021
July-12,16.00,2021
July-13,32.00,2021
July-14,21.00,2021
July-15,42.00,2021
July-16,1.00,2021
July-17,24.00,2021
July-18,30.00,2021
July-19,40.00,2021
July-20,7.00,2021
July-21,3.00,2021
July-22,14.00,2021
July-24,33.00,2021
July-25,45.00,2021
July-26,66.00,2021
July-27,59.00,2021
July-28,70.00,2021
July-29,26.00,2021
July-30,13.00,2021
July-31,48.00,2021
August-01,53.00,2021
August-02,70.00,2021
August-03,39.00,2021
August-04,22.00,2021
August-05,38.00,2021
August-06,18.00,2021
August-07,23.00,2021
August-08,43.00,2021
August-09,30.00,2021
August-10,43.00,2021
August-11,38.00,2021
August-12,33.00,2021
August-13,13.00,2021
August-14,27.00,2021
August-15,15.00,2021
August-16,15.00,2021
August-17,23.00,2021
August-18,6.00,2021
August-19,42.00,2021
August-20,11.00,2021
August-21,13.00,2021
August-22,22.00,2021
August-23,23.00,2021
August-24,26.00,2021
August-25,12.00,2021
August-26,25.00,2021
August-27,8.00,2021
August-28,16.00,2021
August-29,10.00,2021
August-30,9.00,2021
August-31,8.00,2021
September-01,8.00,2021
September-02,23.00,2021
