Category,Confirmed case,Year
April-08,2.00,2020
April-11,2.00,2020
April-15,1.00,2020
April-16,4.00,2020
April-19,1.00,2020
April-20,7.00,2020
April-21,3.00,2020
April-22,1.00,2020
April-23,2.00,2020
April-24,2.00,2020
April-25,1.00,2020
April-26,3.00,2020
April-28,4.00,2020
May-01,2.00,2020
May-05,5.00,2020
May-07,1.00,2020
May-08,2.00,2020
May-09,2.00,2020
May-11,5.00,2020
May-12,1.00,2020
May-13,4.00,2020
May-14,9.00,2020
May-15,4.00,2020
May-16,2.00,2020
May-17,3.00,2020
May-18,3.00,2020
May-20,4.00,2020
May-23,1.00,2020
May-24,5.00,2020
May-25,10.00,2020
May-27,1.00,2020
May-28,16.00,2020
May-29,15.00,2020
May-30,7.00,2020
May-31,16.00,2020
June-01,10.00,2020
June-02,20.00,2020
June-03,4.00,2020
June-04,29.00,2020
June-05,5.00,2020
June-06,4.00,2020
June-07,9.00,2020
June-08,15.00,2020
June-09,2.00,2020
June-10,18.00,2020
June-11,25.00,2020
June-12,4.00,2020
June-13,8.00,2020
June-14,18.00,2020
June-15,15.00,2020
June-16,32.00,2020
June-17,15.00,2020
June-18,33.00,2020
June-19,22.00,2020
June-20,20.00,2020
June-21,35.00,2020
June-22,27.00,2020
June-23,25.00,2020
June-24,22.00,2020
June-25,23.00,2020
June-26,31.00,2020
June-27,27.00,2020
June-28,37.00,2020
June-29,26.00,2020
June-30,18.00,2020
July-01,31.00,2020
July-02,35.00,2020
July-03,27.00,2020
July-04,35.00,2020
July-05,38.00,2020
July-06,38.00,2020
July-07,38.00,2020
July-08,32.00,2020
July-09,34.00,2020
July-10,38.00,2020
July-11,21.00,2020
July-12,37.00,2020
July-13,42.00,2020
July-14,30.00,2020
July-15,41.00,2020
July-16,28.00,2020
July-17,21.00,2020
July-18,17.00,2020
July-19,39.00,2020
July-20,36.00,2020
July-21,29.00,2020
July-22,36.00,2020
July-23,35.00,2020
July-24,36.00,2020
July-25,19.00,2020
July-26,38.00,2020
July-27,28.00,2020
July-28,39.00,2020
July-29,29.00,2020
July-30,50.00,2020
July-31,46.00,2020
August-01,1.00,2020
August-02,15.00,2020
August-03,20.00,2020
August-04,36.00,2020
August-05,30.00,2020
August-06,50.00,2020
August-07,29.00,2020
August-08,13.00,2020
August-09,34.00,2020
August-10,42.00,2020
August-11,37.00,2020
August-12,34.00,2020
August-13,42.00,2020
August-14,35.00,2020
August-15,25.00,2020
August-16,32.00,2020
August-17,23.00,2020
August-18,31.00,2020
August-19,31.00,2020
August-20,34.00,2020
August-21,16.00,2020
August-22,22.00,2020
August-23,27.00,2020
August-24,15.00,2020
August-25,20.00,2020
August-26,19.00,2020
August-27,1.00,2020
August-28,1.00,2020
August-29,13.00,2020
August-30,1.00,2020
August-31,1.00,2020
September-01,4.00,2020
September-02,6.00,2020
September-03,1.00,2020
September-04,25.00,2020
September-05,11.00,2020
September-06,12.00,2020
September-07,11.00,2020
September-08,14.00,2020
September-09,10.00,2020
September-10,11.00,2020
September-11,13.00,2020
September-12,7.00,2020
September-13,8.00,2020
September-14,2.00,2020
September-15,22.00,2020
September-16,13.00,2020
September-17,4.00,2020
September-18,2.00,2020
September-19,1.00,2020
September-20,7.00,2020
September-21,7.00,2020
September-22,4.00,2020
September-23,2.00,2020
September-24,12.00,2020
September-25,7.00,2020
September-26,4.00,2020
September-27,7.00,2020
September-28,8.00,2020
September-29,9.00,2020
September-30,7.00,2020
October-01,9.00,2020
October-02,7.00,2020
October-04,10.00,2020
October-05,10.00,2020
October-06,6.00,2020
October-07,7.00,2020
October-08,5.00,2020
October-09,4.00,2020
October-11,2.00,2020
October-12,3.00,2020
October-13,6.00,2020
October-14,5.00,2020
October-15,2.00,2020
October-16,3.00,2020
October-17,2.00,2020
October-18,7.00,2020
October-20,9.00,2020
October-21,2.00,2020
October-22,6.00,2020
October-23,2.00,2020
October-24,4.00,2020
October-26,7.00,2020
October-27,2.00,2020
October-28,7.00,2020
October-29,7.00,2020
October-30,5.00,2020
October-31,4.00,2020
November-01,10.00,2020
November-02,8.00,2020
November-03,9.00,2020
November-04,8.00,2020
November-05,4.00,2020
November-06,5.00,2020
November-07,5.00,2020
November-08,8.00,2020
November-09,13.00,2020
November-10,5.00,2020
November-11,12.00,2020
November-12,7.00,2020
November-13,11.00,2020
November-14,4.00,2020
November-15,8.00,2020
November-16,4.00,2020
November-17,8.00,2020
November-18,6.00,2020
November-19,14.00,2020
November-20,5.00,2020
November-21,10.00,2020
November-22,12.00,2020
November-23,17.00,2020
November-24,9.00,2020
November-25,6.00,2020
November-26,9.00,2020
November-27,8.00,2020
November-28,5.00,2020
November-29,10.00,2020
November-30,10.00,2020
December-01,4.00,2020
December-02,7.00,2020
December-03,9.00,2020
December-05,4.00,2020
December-06,9.00,2020
December-07,7.00,2020
December-08,14.00,2020
December-09,8.00,2020
December-10,5.00,2020
December-11,7.00,2020
December-12,7.00,2020
December-13,7.00,2020
