Category,Confirmed case,Year
April-10,1.00,2020
April-12,1.00,2020
April-13,1.00,2020
April-17,1.00,2020
April-18,1.00,2020
April-27,1.00,2020
May-01,1.00,2020
May-06,1.00,2020
May-12,4.00,2020
May-27,1.00,2020
May-28,1.00,2020
May-31,4.00,2020
June-02,3.00,2020
June-03,5.00,2020
June-06,1.00,2020
June-07,2.00,2020
June-08,1.00,2020
June-09,4.00,2020
June-10,7.00,2020
June-11,5.00,2020
June-12,7.00,2020
June-13,2.00,2020
June-14,3.00,2020
June-15,2.00,2020
June-16,1.00,2020
June-17,2.00,2020
June-19,2.00,2020
June-20,6.00,2020
June-21,8.00,2020
June-22,2.00,2020
June-23,16.00,2020
June-25,10.00,2020
June-26,6.00,2020
June-27,2.00,2020
June-28,9.00,2020
June-29,10.00,2020
June-30,7.00,2020
July-01,11.00,2020
July-02,5.00,2020
July-03,22.00,2020
July-05,1.00,2020
July-06,4.00,2020
July-07,4.00,2020
July-08,9.00,2020
July-09,9.00,2020
July-10,6.00,2020
July-11,9.00,2020
July-12,2.00,2020
July-13,17.00,2020
July-14,23.00,2020
July-15,2.00,2020
July-16,35.00,2020
July-17,36.00,2020
July-18,12.00,2020
July-19,10.00,2020
July-20,17.00,2020
July-21,10.00,2020
July-22,12.00,2020
July-23,9.00,2020
July-24,13.00,2020
July-25,63.00,2020
July-26,10.00,2020
July-27,10.00,2020
July-28,2.00,2020
July-29,23.00,2020
July-30,3.00,2020
July-31,18.00,2020
August-01,20.00,2020
August-02,6.00,2020
August-03,3.00,2020
August-05,31.00,2020
August-06,35.00,2020
August-07,25.00,2020
August-08,29.00,2020
August-09,13.00,2020
August-10,14.00,2020
August-11,21.00,2020
August-12,27.00,2020
August-13,17.00,2020
August-14,2.00,2020
August-15,30.00,2020
August-16,11.00,2020
August-17,4.00,2020
August-18,8.00,2020
August-19,21.00,2020
August-20,9.00,2020
August-21,17.00,2020
August-23,1.00,2020
August-24,16.00,2020
August-25,5.00,2020
August-26,19.00,2020
August-28,9.00,2020
August-29,7.00,2020
August-30,11.00,2020
August-31,9.00,2020
September-01,1.00,2020
September-02,14.00,2020
September-03,6.00,2020
September-04,10.00,2020
September-05,8.00,2020
September-06,8.00,2020
September-07,4.00,2020
September-08,4.00,2020
September-09,8.00,2020
September-10,8.00,2020
September-11,6.00,2020
September-12,3.00,2020
September-13,4.00,2020
September-14,5.00,2020
September-15,1.00,2020
September-17,1.00,2020
September-18,5.00,2020
September-19,3.00,2020
September-20,4.00,2020
September-21,2.00,2020
September-22,3.00,2020
September-23,5.00,2020
September-25,6.00,2020
September-26,1.00,2020
September-27,2.00,2020
September-28,4.00,2020
September-29,3.00,2020
September-30,1.00,2020
October-01,2.00,2020
October-02,1.00,2020
October-03,2.00,2020
October-04,5.00,2020
October-05,1.00,2020
October-06,1.00,2020
October-07,1.00,2020
October-08,3.00,2020
October-09,2.00,2020
October-10,2.00,2020
October-11,1.00,2020
October-12,1.00,2020
October-13,2.00,2020
October-14,2.00,2020
October-15,3.00,2020
October-16,2.00,2020
October-19,2.00,2020
October-20,1.00,2020
October-21,1.00,2020
October-22,4.00,2020
October-25,2.00,2020
October-27,1.00,2020
October-28,1.00,2020
October-29,1.00,2020
October-30,6.00,2020
October-31,1.00,2020
November-01,2.00,2020
November-02,1.00,2020
November-03,2.00,2020
November-04,6.00,2020
November-05,1.00,2020
November-06,1.00,2020
November-07,5.00,2020
November-09,4.00,2020
November-10,1.00,2020
November-11,2.00,2020
November-12,3.00,2020
November-13,4.00,2020
November-14,5.00,2020
November-15,2.00,2020
November-16,1.00,2020
November-17,3.00,2020
November-18,1.00,2020
November-19,2.00,2020
November-20,4.00,2020
November-21,3.00,2020
November-23,3.00,2020
November-24,7.00,2020
November-25,3.00,2020
November-27,1.00,2020
November-28,6.00,2020
November-30,4.00,2020
December-01,3.00,2020
December-03,5.00,2020
December-04,3.00,2020
December-05,1.00,2020
December-07,2.00,2020
December-08,2.00,2020
December-09,3.00,2020
December-10,5.00,2020
December-11,1.00,2020
December-12,1.00,2020
December-13,1.00,2020
December-15,2.00,2020
December-16,1.00,2020
December-17,6.00,2020
December-19,1.00,2020
December-22,2.00,2020
December-23,2.00,2020
December-24,1.00,2020
December-25,1.00,2020
December-26,1.00,2020
December-28,2.00,2020
December-29,1.00,2020
December-30,1.00,2020
December-31,1.00,2020
January-01,1.00,2021
January-02,3.00,2021
January-05,2.00,2021
January-07,1.00,2021
January-08,1.00,2021
January-09,1.00,2021
January-11,2.00,2021
January-12,2.00,2021
January-17,1.00,2021
January-19,2.00,2021
January-23,2.00,2021
January-26,1.00,2021
February-01,1.00,2021
February-09,1.00,2021
February-11,1.00,2021
February-14,1.00,2021
February-17,1.00,2021
February-19,3.00,2021
February-22,1.00,2021
February-28,1.00,2021
March-01,2.00,2021
March-07,1.00,2021
March-08,1.00,2021
March-09,1.00,2021
March-10,2.00,2021
March-11,1.00,2021
March-13,2.00,2021
March-14,1.00,2021
March-15,5.00,2021
March-16,2.00,2021
March-18,4.00,2021
March-19,2.00,2021
March-20,5.00,2021
March-21,1.00,2021
March-22,5.00,2021
March-23,1.00,2021
March-24,2.00,2021
March-25,2.00,2021
March-26,2.00,2021
March-27,1.00,2021
March-28,2.00,2021
March-29,2.00,2021
March-30,1.00,2021
March-31,2.00,2021
April-01,7.00,2021
April-02,7.00,2021
April-03,2.00,2021
April-04,3.00,2021
April-05,11.00,2021
April-06,4.00,2021
April-07,14.00,2021
April-08,17.00,2021
April-09,5.00,2021
April-10,2.00,2021
April-11,7.00,2021
April-12,8.00,2021
April-13,6.00,2021
April-14,3.00,2021
April-16,2.00,2021
April-17,2.00,2021
April-18,7.00,2021
April-19,6.00,2021
April-20,10.00,2021
April-21,7.00,2021
April-22,1.00,2021
April-23,5.00,2021
April-24,6.00,2021
April-25,3.00,2021
April-26,3.00,2021
April-27,9.00,2021
April-28,1.00,2021
April-29,7.00,2021
April-30,6.00,2021
May-01,1.00,2021
May-02,1.00,2021
May-03,4.00,2021
May-05,3.00,2021
May-06,1.00,2021
May-07,5.00,2021
May-08,3.00,2021
May-09,3.00,2021
May-10,3.00,2021
May-12,5.00,2021
May-13,3.00,2021
May-14,1.00,2021
May-17,2.00,2021
May-18,6.00,2021
May-20,6.00,2021
May-21,2.00,2021
May-23,2.00,2021
May-24,2.00,2021
May-25,2.00,2021
May-26,4.00,2021
May-27,1.00,2021
May-28,1.00,2021
May-29,1.00,2021
May-31,1.00,2021
June-01,3.00,2021
June-02,1.00,2021
June-03,5.00,2021
June-05,6.00,2021
June-06,2.00,2021
June-07,3.00,2021
June-08,1.00,2021
June-09,9.00,2021
June-10,4.00,2021
June-11,10.00,2021
June-12,4.00,2021
June-13,19.00,2021
June-14,7.00,2021
June-15,13.00,2021
June-16,26.00,2021
June-17,8.00,2021
June-18,7.00,2021
June-19,3.00,2021
June-20,18.00,2021
June-21,21.00,2021
June-22,7.00,2021
June-23,8.00,2021
June-24,9.00,2021
June-25,10.00,2021
June-26,48.00,2021
June-27,16.00,2021
June-28,35.00,2021
June-29,29.00,2021
June-30,27.00,2021
July-01,30.00,2021
July-02,5.00,2021
July-03,57.00,2021
July-04,17.00,2021
July-05,35.00,2021
July-06,47.00,2021
July-07,32.00,2021
July-08,30.00,2021
July-09,28.00,2021
July-10,46.00,2021
July-11,36.00,2021
July-12,37.00,2021
July-13,31.00,2021
July-14,56.00,2021
July-15,48.00,2021
July-16,6.00,2021
July-17,37.00,2021
July-18,23.00,2021
July-19,36.00,2021
July-20,12.00,2021
July-21,6.00,2021
July-22,68.00,2021
July-23,5.00,2021
July-24,47.00,2021
July-25,23.00,2021
July-26,25.00,2021
July-27,23.00,2021
July-28,25.00,2021
July-29,54.00,2021
July-30,42.00,2021
July-31,29.00,2021
August-01,50.00,2021
August-02,64.00,2021
August-03,52.00,2021
August-04,43.00,2021
August-05,49.00,2021
August-06,2.00,2021
August-07,44.00,2021
August-08,23.00,2021
August-09,65.00,2021
August-10,37.00,2021
August-11,38.00,2021
August-12,15.00,2021
August-13,45.00,2021
August-14,13.00,2021
August-15,25.00,2021
August-16,39.00,2021
August-17,17.00,2021
August-18,14.00,2021
August-19,5.00,2021
August-20,15.00,2021
August-21,13.00,2021
August-22,21.00,2021
August-23,25.00,2021
August-24,9.00,2021
August-25,18.00,2021
August-26,23.00,2021
August-27,4.00,2021
August-28,9.00,2021
August-29,9.00,2021
August-30,7.00,2021
August-31,4.00,2021
September-01,5.00,2021
September-02,10.00,2021
September-03,8.00,2021
September-04,1.00,2021
September-05,2.00,2021
September-06,18.00,2021
September-07,5.00,2021
September-08,7.00,2021
September-09,5.00,2021
September-10,1.00,2021
September-11,3.00,2021
September-12,3.00,2021
September-13,6.00,2021
September-14,6.00,2021
September-15,1.00,2021
September-16,3.00,2021
September-17,4.00,2021
September-18,6.00,2021
September-19,5.00,2021
September-20,1.00,2021
September-21,1.00,2021
September-22,7.00,2021
September-25,1.00,2021
September-26,5.00,2021
September-27,1.00,2021
September-28,2.00,2021
September-29,1.00,2021
October-02,1.00,2021
October-03,3.00,2021
October-07,2.00,2021
October-09,1.00,2021
October-10,1.00,2021
October-13,1.00,2021
October-18,1.00,2021
October-21,2.00,2021
October-23,1.00,2021
October-24,1.00,2021
October-25,1.00,2021
October-28,1.00,2021
October-30,1.00,2021
November-06,1.00,2021
November-09,1.00,2021
November-21,1.00,2021
November-28,1.00,2021
November-29,1.00,2021
November-30,2.00,2021
January-03,1.00,2022
January-06,1.00,2022
January-07,2.00,2022
January-09,1.00,2022
January-10,2.00,2022
January-12,3.00,2022
January-13,3.00,2022
January-14,2.00,2022
January-15,3.00,2022
January-16,10.00,2022
January-17,8.00,2022
January-18,12.00,2022
January-19,10.00,2022
January-20,23.00,2022
January-21,9.00,2022
January-22,16.00,2022
January-23,19.00,2022
January-24,29.00,2022
January-25,36.00,2022
January-26,57.00,2022
January-27,43.00,2022
January-28,11.00,2022
January-29,26.00,2022
January-30,26.00,2022
January-31,42.00,2022
February-01,17.00,2022
February-02,32.00,2022
February-03,22.00,2022
February-04,37.00,2022
February-05,16.00,2022
February-06,22.00,2022
February-07,33.00,2022
February-08,13.00,2022
February-09,22.00,2022
February-10,12.00,2022
February-11,7.00,2022
February-12,4.00,2022
February-13,6.00,2022
February-14,7.00,2022
February-15,7.00,2022
February-16,15.00,2022
February-17,3.00,2022
February-18,2.00,2022
February-19,3.00,2022
February-20,2.00,2022
February-21,4.00,2022
February-22,4.00,2022
February-23,2.00,2022
February-24,2.00,2022
February-26,2.00,2022
February-27,4.00,2022
February-28,1.00,2022
March-01,4.00,2022
March-02,2.00,2022
March-03,1.00,2022
March-09,1.00,2022
