Category,Confirmed case,Year
April-10,1.00,2020
April-16,2.00,2020
April-20,1.00,2020
April-24,2.00,2020
April-25,1.00,2020
April-26,2.00,2020
May-01,1.00,2020
May-04,1.00,2020
May-17,3.00,2020
May-18,1.00,2020
May-21,1.00,2020
May-23,4.00,2020
May-24,1.00,2020
May-27,4.00,2020
May-28,9.00,2020
May-29,11.00,2020
May-30,1.00,2020
May-31,6.00,2020
June-01,1.00,2020
June-02,13.00,2020
June-03,19.00,2020
June-04,9.00,2020
June-05,6.00,2020
June-06,9.00,2020
June-07,13.00,2020
June-08,19.00,2020
June-09,19.00,2020
June-10,39.00,2020
June-11,27.00,2020
June-12,11.00,2020
June-13,39.00,2020
June-14,9.00,2020
June-15,31.00,2020
June-16,18.00,2020
June-17,24.00,2020
June-18,46.00,2020
June-19,22.00,2020
June-20,27.00,2020
June-21,44.00,2020
June-22,15.00,2020
June-23,52.00,2020
June-24,37.00,2020
June-25,45.00,2020
June-26,54.00,2020
June-27,11.00,2020
June-28,39.00,2020
June-29,29.00,2020
June-30,30.00,2020
July-01,37.00,2020
July-02,135.00,2020
July-03,36.00,2020
July-04,1.00,2020
July-05,40.00,2020
July-06,48.00,2020
July-07,29.00,2020
July-08,38.00,2020
July-09,47.00,2020
July-10,40.00,2020
July-11,16.00,2020
July-12,40.00,2020
July-13,50.00,2020
July-14,37.00,2020
July-15,26.00,2020
July-16,38.00,2020
July-17,37.00,2020
July-18,3.00,2020
July-19,64.00,2020
July-20,57.00,2020
July-21,36.00,2020
July-22,23.00,2020
July-23,36.00,2020
July-24,27.00,2020
July-25,33.00,2020
July-26,44.00,2020
July-27,10.00,2020
July-28,59.00,2020
July-29,57.00,2020
July-30,16.00,2020
July-31,37.00,2020
August-01,7.00,2020
August-02,66.00,2020
August-03,11.00,2020
August-04,77.00,2020
August-05,62.00,2020
August-06,50.00,2020
August-07,72.00,2020
August-08,13.00,2020
August-09,59.00,2020
August-10,65.00,2020
August-11,60.00,2020
August-12,16.00,2020
August-13,15.00,2020
August-14,49.00,2020
August-15,17.00,2020
August-16,43.00,2020
August-17,29.00,2020
August-18,66.00,2020
August-19,39.00,2020
August-20,5.00,2020
August-22,13.00,2020
August-23,9.00,2020
August-24,62.00,2020
August-25,20.00,2020
August-26,29.00,2020
August-27,58.00,2020
August-28,53.00,2020
August-29,4.00,2020
August-30,25.00,2020
August-31,12.00,2020
September-01,43.00,2020
September-02,28.00,2020
September-03,21.00,2020
September-04,26.00,2020
September-05,6.00,2020
September-06,29.00,2020
September-07,17.00,2020
September-08,26.00,2020
September-09,19.00,2020
September-10,24.00,2020
September-11,15.00,2020
September-12,9.00,2020
September-13,19.00,2020
September-14,21.00,2020
September-15,20.00,2020
September-16,22.00,2020
September-17,12.00,2020
September-18,17.00,2020
September-19,7.00,2020
September-20,16.00,2020
September-21,21.00,2020
September-22,13.00,2020
September-23,9.00,2020
September-24,8.00,2020
September-25,11.00,2020
September-26,5.00,2020
September-27,15.00,2020
September-28,10.00,2020
September-29,9.00,2020
September-30,5.00,2020
October-01,10.00,2020
October-02,7.00,2020
October-03,2.00,2020
October-04,2.00,2020
October-05,13.00,2020
October-06,15.00,2020
October-07,13.00,2020
October-08,18.00,2020
October-09,6.00,2020
October-10,7.00,2020
October-11,9.00,2020
October-12,10.00,2020
October-13,8.00,2020
October-14,6.00,2020
October-15,8.00,2020
October-16,12.00,2020
October-17,2.00,2020
October-18,9.00,2020
October-19,11.00,2020
October-20,8.00,2020
October-21,11.00,2020
October-22,10.00,2020
October-23,6.00,2020
October-24,8.00,2020
October-25,6.00,2020
October-26,11.00,2020
October-27,5.00,2020
October-28,3.00,2020
October-29,3.00,2020
October-30,2.00,2020
October-31,2.00,2020
November-01,4.00,2020
November-02,7.00,2020
November-03,4.00,2020
November-04,5.00,2020
November-05,8.00,2020
November-06,4.00,2020
November-07,3.00,2020
November-08,4.00,2020
November-09,5.00,2020
November-10,6.00,2020
November-11,2.00,2020
November-12,11.00,2020
November-13,6.00,2020
November-14,2.00,2020
November-15,5.00,2020
November-16,6.00,2020
November-17,6.00,2020
November-18,8.00,2020
November-19,5.00,2020
November-20,12.00,2020
November-21,4.00,2020
November-22,17.00,2020
November-23,10.00,2020
November-24,2.00,2020
November-25,15.00,2020
November-26,10.00,2020
November-27,6.00,2020
November-28,10.00,2020
November-29,10.00,2020
November-30,9.00,2020
December-01,3.00,2020
December-02,7.00,2020
December-03,13.00,2020
December-04,9.00,2020
December-05,5.00,2020
December-06,15.00,2020
December-07,24.00,2020
December-08,8.00,2020
December-09,6.00,2020
December-10,5.00,2020
December-11,7.00,2020
December-12,4.00,2020
December-13,11.00,2020
December-14,15.00,2020
December-15,4.00,2020
December-16,1.00,2020
December-17,11.00,2020
December-19,7.00,2020
December-20,6.00,2020
December-21,4.00,2020
December-22,5.00,2020
December-23,9.00,2020
December-24,2.00,2020
December-25,7.00,2020
December-27,4.00,2020
December-28,14.00,2020
December-29,6.00,2020
December-30,5.00,2020
December-31,2.00,2020
January-02,7.00,2021
January-03,1.00,2021
January-04,8.00,2021
January-05,4.00,2021
January-06,2.00,2021
January-07,6.00,2021
January-08,3.00,2021
January-09,1.00,2021
January-10,8.00,2021
January-11,5.00,2021
January-12,2.00,2021
January-13,8.00,2021
January-14,2.00,2021
January-15,7.00,2021
January-16,1.00,2021
January-17,5.00,2021
January-18,2.00,2021
January-20,5.00,2021
January-21,4.00,2021
January-22,1.00,2021
January-23,9.00,2021
January-24,4.00,2021
January-25,2.00,2021
January-26,4.00,2021
January-27,3.00,2021
January-28,1.00,2021
January-29,4.00,2021
January-30,2.00,2021
January-31,2.00,2021
February-01,6.00,2021
February-02,2.00,2021
February-03,2.00,2021
February-04,3.00,2021
February-06,1.00,2021
February-07,3.00,2021
February-08,2.00,2021
February-09,3.00,2021
February-10,2.00,2021
February-11,4.00,2021
February-12,2.00,2021
February-13,2.00,2021
February-14,1.00,2021
February-16,3.00,2021
February-18,1.00,2021
February-23,3.00,2021
February-24,1.00,2021
February-25,4.00,2021
February-26,8.00,2021
February-27,1.00,2021
February-28,2.00,2021
March-01,1.00,2021
March-02,5.00,2021
March-03,2.00,2021
March-04,4.00,2021
March-05,1.00,2021
March-06,1.00,2021
March-07,3.00,2021
March-09,1.00,2021
March-10,3.00,2021
March-11,5.00,2021
March-13,11.00,2021
March-14,7.00,2021
March-15,1.00,2021
March-16,7.00,2021
March-17,15.00,2021
March-18,8.00,2021
March-19,17.00,2021
March-20,4.00,2021
March-21,14.00,2021
March-23,25.00,2021
March-24,7.00,2021
March-25,10.00,2021
March-26,14.00,2021
March-27,1.00,2021
March-28,26.00,2021
March-29,19.00,2021
March-30,13.00,2021
March-31,5.00,2021
April-01,6.00,2021
April-02,24.00,2021
April-03,41.00,2021
April-04,33.00,2021
April-05,26.00,2021
April-06,40.00,2021
April-07,34.00,2021
April-08,33.00,2021
April-09,25.00,2021
April-10,17.00,2021
April-11,43.00,2021
April-12,33.00,2021
April-13,33.00,2021
April-14,14.00,2021
April-15,6.00,2021
April-16,25.00,2021
April-17,4.00,2021
April-18,33.00,2021
April-19,15.00,2021
April-20,20.00,2021
April-21,18.00,2021
April-22,15.00,2021
April-23,22.00,2021
April-25,21.00,2021
April-26,10.00,2021
April-27,20.00,2021
April-28,13.00,2021
April-29,10.00,2021
April-30,10.00,2021
May-01,2.00,2021
May-02,6.00,2021
May-03,19.00,2021
May-04,8.00,2021
May-05,8.00,2021
May-06,1.00,2021
May-07,16.00,2021
May-08,3.00,2021
May-09,14.00,2021
May-10,11.00,2021
May-11,5.00,2021
May-12,11.00,2021
May-13,2.00,2021
May-14,8.00,2021
May-15,1.00,2021
May-16,4.00,2021
May-17,5.00,2021
May-18,18.00,2021
May-19,19.00,2021
May-20,16.00,2021
May-21,23.00,2021
May-22,6.00,2021
May-23,21.00,2021
May-24,22.00,2021
May-25,21.00,2021
May-26,24.00,2021
May-27,7.00,2021
May-28,26.00,2021
May-29,11.00,2021
May-30,31.00,2021
May-31,26.00,2021
June-01,23.00,2021
June-02,41.00,2021
June-03,26.00,2021
June-04,33.00,2021
June-05,6.00,2021
June-06,48.00,2021
June-07,43.00,2021
June-08,50.00,2021
June-09,49.00,2021
June-10,24.00,2021
June-11,58.00,2021
June-12,50.00,2021
June-13,21.00,2021
June-14,133.00,2021
June-15,75.00,2021
June-16,36.00,2021
June-17,91.00,2021
June-18,23.00,2021
June-19,102.00,2021
June-20,28.00,2021
June-21,58.00,2021
June-22,63.00,2021
June-23,68.00,2021
June-24,76.00,2021
June-25,251.00,2021
June-26,129.00,2021
June-27,132.00,2021
June-28,143.00,2021
June-29,156.00,2021
June-30,212.00,2021
July-01,259.00,2021
July-02,152.00,2021
July-03,204.00,2021
July-04,273.00,2021
July-05,175.00,2021
July-06,143.00,2021
July-07,151.00,2021
July-08,183.00,2021
July-09,128.00,2021
July-10,176.00,2021
July-11,276.00,2021
July-12,214.00,2021
July-13,166.00,2021
July-14,161.00,2021
July-15,122.00,2021
July-16,163.00,2021
July-17,233.00,2021
July-18,195.00,2021
July-19,169.00,2021
July-20,95.00,2021
July-21,5.00,2021
July-22,49.00,2021
July-23,79.00,2021
July-24,162.00,2021
July-25,200.00,2021
July-26,177.00,2021
July-27,187.00,2021
July-28,151.00,2021
July-29,112.00,2021
July-30,44.00,2021
July-31,282.00,2021
August-01,184.00,2021
August-02,200.00,2021
August-03,98.00,2021
August-04,170.00,2021
August-05,137.00,2021
August-06,75.00,2021
August-07,153.00,2021
August-08,196.00,2021
August-09,182.00,2021
August-10,177.00,2021
August-11,154.00,2021
August-12,77.00,2021
August-13,68.00,2021
August-14,34.00,2021
August-15,52.00,2021
August-16,79.00,2021
August-17,37.00,2021
August-18,68.00,2021
August-19,57.00,2021
August-20,38.00,2021
August-21,49.00,2021
August-22,73.00,2021
August-23,44.00,2021
August-24,33.00,2021
August-25,43.00,2021
August-26,3.00,2021
August-27,75.00,2021
August-28,6.00,2021
August-29,75.00,2021
August-30,39.00,2021
August-31,34.00,2021
September-01,27.00,2021
September-02,23.00,2021
September-03,28.00,2021
September-04,18.00,2021
September-05,40.00,2021
September-06,37.00,2021
September-07,40.00,2021
September-08,28.00,2021
September-09,28.00,2021
September-10,48.00,2021
September-11,1.00,2021
September-12,33.00,2021
September-13,27.00,2021
September-14,21.00,2021
September-15,15.00,2021
September-16,37.00,2021
September-17,29.00,2021
September-18,28.00,2021
September-19,46.00,2021
September-20,16.00,2021
September-21,9.00,2021
September-22,12.00,2021
September-23,26.00,2021
September-24,14.00,2021
September-25,12.00,2021
September-26,15.00,2021
September-27,20.00,2021
September-28,8.00,2021
September-29,6.00,2021
September-30,13.00,2021
October-01,9.00,2021
October-03,12.00,2021
October-04,6.00,2021
October-05,9.00,2021
October-06,6.00,2021
October-07,10.00,2021
October-08,5.00,2021
October-09,7.00,2021
October-10,8.00,2021
October-11,13.00,2021
October-12,8.00,2021
October-13,9.00,2021
October-14,10.00,2021
October-15,9.00,2021
October-16,1.00,2021
October-17,3.00,2021
October-18,3.00,2021
October-19,6.00,2021
October-20,4.00,2021
October-21,1.00,2021
October-22,14.00,2021
October-23,2.00,2021
October-24,3.00,2021
October-25,1.00,2021
October-26,3.00,2021
October-27,4.00,2021
October-29,3.00,2021
October-30,2.00,2021
October-31,4.00,2021
November-01,13.00,2021
November-02,1.00,2021
November-03,2.00,2021
November-04,3.00,2021
November-05,2.00,2021
November-07,1.00,2021
November-08,1.00,2021
November-09,7.00,2021
November-10,1.00,2021
November-11,19.00,2021
November-12,5.00,2021
November-13,3.00,2021
November-14,3.00,2021
November-15,3.00,2021
November-16,6.00,2021
November-17,2.00,2021
November-18,4.00,2021
November-19,2.00,2021
November-21,1.00,2021
November-22,1.00,2021
November-23,7.00,2021
November-24,3.00,2021
November-25,6.00,2021
November-26,2.00,2021
November-27,1.00,2021
November-28,6.00,2021
November-30,7.00,2021
December-01,2.00,2021
December-03,1.00,2021
December-04,2.00,2021
December-05,4.00,2021
December-06,2.00,2021
December-07,1.00,2021
December-08,3.00,2021
December-10,2.00,2021
December-11,5.00,2021
December-12,3.00,2021
December-13,1.00,2021
December-14,1.00,2021
December-15,3.00,2021
December-18,4.00,2021
December-19,5.00,2021
December-20,4.00,2021
December-21,1.00,2021
December-22,4.00,2021
December-23,6.00,2021
December-24,2.00,2021
December-25,4.00,2021
December-28,2.00,2021
December-29,1.00,2021
December-30,5.00,2021
December-31,2.00,2021
January-01,4.00,2022
January-02,1.00,2022
January-03,5.00,2022
January-04,4.00,2022
January-05,6.00,2022
January-06,6.00,2022
January-07,3.00,2022
January-08,8.00,2022
January-09,5.00,2022
January-10,17.00,2022
January-11,12.00,2022
January-12,17.00,2022
January-13,21.00,2022
January-14,11.00,2022
January-15,7.00,2022
January-16,36.00,2022
January-17,39.00,2022
January-18,49.00,2022
January-19,47.00,2022
January-20,56.00,2022
January-21,68.00,2022
January-22,29.00,2022
January-23,86.00,2022
January-24,113.00,2022
January-25,75.00,2022
January-26,112.00,2022
January-27,125.00,2022
January-28,67.00,2022
January-29,73.00,2022
January-30,133.00,2022
January-31,94.00,2022
February-01,113.00,2022
February-02,121.00,2022
February-03,70.00,2022
February-04,65.00,2022
February-05,62.00,2022
February-06,81.00,2022
February-07,71.00,2022
February-08,68.00,2022
February-09,63.00,2022
February-10,47.00,2022
February-11,25.00,2022
February-12,28.00,2022
February-13,37.00,2022
February-14,22.00,2022
February-15,22.00,2022
February-16,28.00,2022
February-17,27.00,2022
February-18,14.00,2022
February-19,13.00,2022
February-20,20.00,2022
February-21,16.00,2022
February-22,6.00,2022
February-23,17.00,2022
February-24,17.00,2022
February-25,5.00,2022
February-26,3.00,2022
February-27,15.00,2022
February-28,7.00,2022
March-01,3.00,2022
March-02,2.00,2022
March-03,2.00,2022
March-04,6.00,2022
March-06,3.00,2022
March-07,4.00,2022
March-08,1.00,2022
March-09,2.00,2022
