Category,Confirmed case,Year
April-11,1.00,2020
April-17,1.00,2020
April-29,3.00,2020
May-02,3.00,2020
May-03,2.00,2020
May-04,1.00,2020
May-05,1.00,2020
May-07,1.00,2020
May-08,1.00,2020
May-12,2.00,2020
May-13,2.00,2020
May-14,4.00,2020
May-15,7.00,2020
May-17,5.00,2020
May-18,13.00,2020
May-19,15.00,2020
May-20,30.00,2020
May-21,25.00,2020
May-22,6.00,2020
May-23,5.00,2020
May-24,39.00,2020
May-25,11.00,2020
May-26,8.00,2020
May-27,9.00,2020
May-28,13.00,2020
May-29,6.00,2020
May-30,6.00,2020
May-31,13.00,2020
June-01,1.00,2020
June-02,58.00,2020
June-03,42.00,2020
June-04,69.00,2020
June-05,40.00,2020
June-06,27.00,2020
June-07,10.00,2020
June-08,62.00,2020
June-09,113.00,2020
June-10,61.00,2020
June-11,61.00,2020
June-12,22.00,2020
June-13,50.00,2020
June-14,33.00,2020
June-15,52.00,2020
June-16,45.00,2020
June-17,48.00,2020
June-18,31.00,2020
June-19,29.00,2020
June-20,39.00,2020
June-21,34.00,2020
June-22,56.00,2020
June-23,58.00,2020
June-24,77.00,2020
June-25,91.00,2020
June-26,22.00,2020
June-27,51.00,2020
June-28,53.00,2020
June-29,56.00,2020
June-30,29.00,2020
July-01,46.00,2020
July-02,7.00,2020
July-03,6.00,2020
July-04,48.00,2020
July-05,36.00,2020
July-06,40.00,2020
July-07,41.00,2020
July-08,44.00,2020
July-09,49.00,2020
July-10,23.00,2020
July-11,34.00,2020
July-12,34.00,2020
July-13,42.00,2020
July-14,46.00,2020
July-15,22.00,2020
July-16,44.00,2020
July-17,3.00,2020
July-18,52.00,2020
July-19,23.00,2020
July-20,50.00,2020
July-21,35.00,2020
July-22,45.00,2020
July-23,68.00,2020
July-24,28.00,2020
July-25,37.00,2020
July-26,35.00,2020
July-27,35.00,2020
July-28,42.00,2020
July-29,59.00,2020
July-30,40.00,2020
July-31,4.00,2020
August-01,2.00,2020
August-02,12.00,2020
August-03,79.00,2020
August-04,81.00,2020
August-05,69.00,2020
August-06,60.00,2020
August-07,30.00,2020
August-08,91.00,2020
August-09,105.00,2020
August-10,55.00,2020
August-11,57.00,2020
August-12,76.00,2020
August-13,103.00,2020
August-14,13.00,2020
August-15,34.00,2020
August-16,64.00,2020
August-17,64.00,2020
August-18,55.00,2020
August-19,58.00,2020
August-20,53.00,2020
August-21,30.00,2020
August-22,60.00,2020
August-23,65.00,2020
August-24,41.00,2020
August-25,34.00,2020
August-26,56.00,2020
August-27,52.00,2020
August-28,3.00,2020
August-29,56.00,2020
August-30,12.00,2020
August-31,66.00,2020
September-01,39.00,2020
September-02,50.00,2020
September-03,26.00,2020
September-04,11.00,2020
September-05,29.00,2020
September-06,11.00,2020
September-07,28.00,2020
September-08,23.00,2020
September-09,21.00,2020
September-10,16.00,2020
September-11,5.00,2020
September-12,27.00,2020
September-13,10.00,2020
September-14,18.00,2020
September-15,19.00,2020
September-16,11.00,2020
September-17,19.00,2020
September-18,1.00,2020
September-19,10.00,2020
September-20,14.00,2020
September-21,11.00,2020
September-22,15.00,2020
September-23,17.00,2020
September-24,7.00,2020
September-25,5.00,2020
September-26,3.00,2020
