Category,Confirmed case,Year
April-08,1.00,2020
April-10,1.00,2020
April-12,2.00,2020
April-13,1.00,2020
April-14,10.00,2020
April-15,3.00,2020
April-16,3.00,2020
April-17,7.00,2020
April-18,4.00,2020
April-20,7.00,2020
April-21,6.00,2020
April-22,1.00,2020
April-23,1.00,2020
April-24,3.00,2020
April-26,5.00,2020
April-27,4.00,2020
April-28,2.00,2020
April-30,3.00,2020
May-02,9.00,2020
May-03,9.00,2020
May-04,1.00,2020
May-05,11.00,2020
May-07,1.00,2020
May-08,5.00,2020
May-10,2.00,2020
May-11,11.00,2020
May-12,3.00,2020
May-13,1.00,2020
May-14,8.00,2020
May-15,2.00,2020
May-16,17.00,2020
May-17,3.00,2020
May-18,1.00,2020
May-19,9.00,2020
May-20,50.00,2020
May-21,9.00,2020
May-22,23.00,2020
May-23,4.00,2020
May-24,5.00,2020
May-26,2.00,2020
May-27,7.00,2020
May-29,6.00,2020
May-31,24.00,2020
June-01,16.00,2020
June-02,5.00,2020
June-05,38.00,2020
June-06,5.00,2020
June-07,5.00,2020
June-09,3.00,2020
June-10,13.00,2020
June-11,7.00,2020
June-12,4.00,2020
June-13,1.00,2020
June-14,8.00,2020
June-15,2.00,2020
June-16,2.00,2020
June-18,2.00,2020
June-20,15.00,2020
June-21,1.00,2020
June-22,7.00,2020
June-23,84.00,2020
June-24,9.00,2020
June-25,2.00,2020
June-26,1.00,2020
June-27,19.00,2020
June-28,44.00,2020
June-29,9.00,2020
June-30,4.00,2020
July-01,24.00,2020
July-02,5.00,2020
July-03,7.00,2020
July-04,1.00,2020
July-06,3.00,2020
July-07,5.00,2020
July-08,1.00,2020
July-09,1.00,2020
July-10,2.00,2020
July-11,4.00,2020
July-12,2.00,2020
July-13,2.00,2020
July-14,2.00,2020
July-15,7.00,2020
July-16,10.00,2020
July-17,19.00,2020
July-18,5.00,2020
July-19,1.00,2020
July-20,9.00,2020
July-21,4.00,2020
July-22,7.00,2020
July-23,1.00,2020
July-24,4.00,2020
July-25,4.00,2020
July-26,2.00,2020
July-27,5.00,2020
July-28,2.00,2020
July-29,6.00,2020
July-30,4.00,2020
July-31,2.00,2020
August-01,5.00,2020
August-02,3.00,2020
August-03,2.00,2020
August-04,3.00,2020
August-05,3.00,2020
August-06,6.00,2020
August-08,2.00,2020
August-09,2.00,2020
August-10,3.00,2020
August-11,4.00,2020
August-12,8.00,2020
August-13,1.00,2020
August-14,1.00,2020
August-15,4.00,2020
August-16,1.00,2020
August-17,5.00,2020
August-18,2.00,2020
August-19,2.00,2020
August-20,2.00,2020
August-21,4.00,2020
August-22,3.00,2020
August-23,2.00,2020
August-24,1.00,2020
August-25,2.00,2020
August-26,2.00,2020
August-27,1.00,2020
August-28,4.00,2020
August-29,3.00,2020
August-30,2.00,2020
