Category,Confirmed case,Year
April-12,4.00,2020
April-13,5.00,2020
April-14,1.00,2020
April-15,1.00,2020
April-16,6.00,2020
April-17,2.00,2020
April-18,2.00,2020
April-19,6.00,2020
April-21,2.00,2020
April-22,2.00,2020
April-23,1.00,2020
April-24,8.00,2020
April-25,1.00,2020
April-26,3.00,2020
April-27,4.00,2020
April-28,1.00,2020
April-29,3.00,2020
May-01,1.00,2020
May-02,1.00,2020
May-04,3.00,2020
May-05,3.00,2020
May-06,2.00,2020
May-08,2.00,2020
May-09,2.00,2020
May-10,1.00,2020
May-11,2.00,2020
May-12,3.00,2020
May-16,1.00,2020
May-17,5.00,2020
May-18,5.00,2020
May-19,17.00,2020
May-20,2.00,2020
May-21,4.00,2020
May-22,3.00,2020
May-23,6.00,2020
May-24,15.00,2020
May-25,16.00,2020
May-26,10.00,2020
May-27,1.00,2020
May-28,8.00,2020
May-29,24.00,2020
May-30,45.00,2020
May-31,43.00,2020
June-01,50.00,2020
June-02,53.00,2020
June-03,46.00,2020
June-04,77.00,2020
June-05,41.00,2020
June-06,68.00,2020
June-07,1.00,2020
June-08,65.00,2020
June-09,25.00,2020
June-10,45.00,2020
June-11,57.00,2020
June-12,77.00,2020
June-13,21.00,2020
June-14,46.00,2020
June-15,66.00,2020
June-16,32.00,2020
June-17,65.00,2020
June-18,46.00,2020
June-19,38.00,2020
June-20,64.00,2020
June-21,56.00,2020
June-22,62.00,2020
June-23,17.00,2020
June-24,38.00,2020
June-25,28.00,2020
June-26,53.00,2020
June-27,35.00,2020
June-28,64.00,2020
June-29,66.00,2020
June-30,26.00,2020
July-01,31.00,2020
July-02,36.00,2020
July-03,49.00,2020
July-04,22.00,2020
July-05,49.00,2020
July-06,34.00,2020
July-07,21.00,2020
July-08,46.00,2020
July-09,49.00,2020
July-10,18.00,2020
July-11,29.00,2020
July-12,14.00,2020
July-13,33.00,2020
July-14,52.00,2020
July-15,38.00,2020
July-16,28.00,2020
July-17,40.00,2020
July-18,26.00,2020
July-19,21.00,2020
July-20,50.00,2020
July-21,45.00,2020
July-22,37.00,2020
July-23,27.00,2020
July-24,42.00,2020
July-25,10.00,2020
July-26,18.00,2020
July-27,35.00,2020
July-28,45.00,2020
July-29,35.00,2020
July-30,23.00,2020
July-31,31.00,2020
August-01,6.00,2020
August-02,1.00,2020
August-03,17.00,2020
August-04,37.00,2020
August-05,15.00,2020
August-06,50.00,2020
August-07,30.00,2020
August-08,10.00,2020
August-09,50.00,2020
August-10,50.00,2020
August-11,32.00,2020
August-12,27.00,2020
August-13,32.00,2020
August-14,38.00,2020
August-15,14.00,2020
August-16,23.00,2020
August-17,36.00,2020
August-18,12.00,2020
August-19,40.00,2020
August-20,31.00,2020
August-21,27.00,2020
August-22,15.00,2020
August-23,17.00,2020
August-24,34.00,2020
August-25,17.00,2020
August-26,40.00,2020
August-27,23.00,2020
August-28,36.00,2020
August-29,5.00,2020
August-30,44.00,2020
August-31,17.00,2020
September-01,32.00,2020
September-02,20.00,2020
September-03,19.00,2020
September-04,31.00,2020
September-05,13.00,2020
September-06,35.00,2020
September-07,13.00,2020
September-08,16.00,2020
September-09,11.00,2020
September-10,17.00,2020
September-11,15.00,2020
September-12,8.00,2020
September-13,11.00,2020
September-14,22.00,2020
September-15,7.00,2020
September-16,6.00,2020
September-17,14.00,2020
September-18,7.00,2020
September-19,8.00,2020
September-20,15.00,2020
September-21,18.00,2020
September-22,12.00,2020
September-23,11.00,2020
September-24,11.00,2020
September-25,16.00,2020
September-26,4.00,2020
September-27,19.00,2020
September-28,18.00,2020
September-29,23.00,2020
September-30,11.00,2020
October-01,17.00,2020
October-02,13.00,2020
October-03,5.00,2020
October-04,16.00,2020
October-05,18.00,2020
October-06,12.00,2020
October-07,15.00,2020
October-08,22.00,2020
October-09,16.00,2020
October-10,4.00,2020
October-11,15.00,2020
October-12,19.00,2020
October-13,11.00,2020
October-14,15.00,2020
October-15,16.00,2020
October-16,18.00,2020
October-17,3.00,2020
October-18,19.00,2020
October-19,7.00,2020
October-20,17.00,2020
October-21,32.00,2020
October-22,15.00,2020
October-23,7.00,2020
October-24,3.00,2020
October-25,27.00,2020
October-26,15.00,2020
October-27,5.00,2020
October-28,39.00,2020
October-29,14.00,2020
October-30,20.00,2020
October-31,6.00,2020
November-01,30.00,2020
November-02,21.00,2020
November-03,23.00,2020
November-04,30.00,2020
November-05,20.00,2020
November-06,32.00,2020
November-07,3.00,2020
November-08,38.00,2020
November-09,31.00,2020
November-10,25.00,2020
November-11,27.00,2020
November-12,24.00,2020
November-13,35.00,2020
November-14,8.00,2020
November-15,33.00,2020
November-16,27.00,2020
November-17,23.00,2020
November-18,16.00,2020
November-19,29.00,2020
November-20,26.00,2020
November-21,7.00,2020
November-22,33.00,2020
November-23,24.00,2020
November-24,18.00,2020
November-25,29.00,2020
November-26,30.00,2020
November-27,22.00,2020
November-28,10.00,2020
November-29,21.00,2020
November-30,29.00,2020
December-01,30.00,2020
December-02,21.00,2020
December-03,24.00,2020
December-04,9.00,2020
December-05,5.00,2020
December-06,8.00,2020
December-07,19.00,2020
December-08,22.00,2020
December-09,19.00,2020
December-10,4.00,2020
December-11,18.00,2020
December-12,10.00,2020
December-13,13.00,2020
December-14,11.00,2020
December-15,10.00,2020
December-16,12.00,2020
December-17,12.00,2020
December-18,17.00,2020
December-19,8.00,2020
December-20,17.00,2020
December-21,4.00,2020
December-22,14.00,2020
December-23,15.00,2020
December-24,5.00,2020
December-25,12.00,2020
December-26,7.00,2020
December-27,9.00,2020
December-28,11.00,2020
December-29,10.00,2020
December-30,7.00,2020
December-31,18.00,2020
January-02,7.00,2021
January-03,5.00,2021
January-04,2.00,2021
January-05,6.00,2021
January-06,7.00,2021
January-07,13.00,2021
January-08,10.00,2021
January-09,2.00,2021
January-10,2.00,2021
January-11,3.00,2021
January-12,4.00,2021
January-13,2.00,2021
January-14,12.00,2021
January-15,3.00,2021
January-16,5.00,2021
January-17,7.00,2021
January-18,7.00,2021
January-19,4.00,2021
January-20,9.00,2021
January-21,1.00,2021
January-22,1.00,2021
January-23,3.00,2021
January-24,6.00,2021
January-25,4.00,2021
January-26,5.00,2021
January-27,5.00,2021
January-28,5.00,2021
January-29,5.00,2021
January-31,5.00,2021
February-01,5.00,2021
February-02,5.00,2021
February-03,2.00,2021
February-04,4.00,2021
February-05,4.00,2021
February-06,4.00,2021
February-07,7.00,2021
February-08,5.00,2021
February-09,1.00,2021
February-10,2.00,2021
February-11,5.00,2021
February-12,6.00,2021
February-14,4.00,2021
February-15,1.00,2021
February-16,4.00,2021
February-17,2.00,2021
February-18,2.00,2021
February-19,4.00,2021
February-20,1.00,2021
February-21,4.00,2021
February-22,2.00,2021
February-23,3.00,2021
February-24,2.00,2021
February-25,3.00,2021
February-26,2.00,2021
February-27,4.00,2021
March-01,4.00,2021
March-02,1.00,2021
March-03,2.00,2021
March-04,5.00,2021
March-05,5.00,2021
March-06,2.00,2021
March-07,1.00,2021
March-08,5.00,2021
March-09,6.00,2021
March-10,4.00,2021
March-11,4.00,2021
March-12,8.00,2021
March-13,6.00,2021
March-14,14.00,2021
March-15,10.00,2021
March-16,17.00,2021
March-17,13.00,2021
March-18,10.00,2021
March-19,13.00,2021
March-20,4.00,2021
March-21,24.00,2021
March-22,31.00,2021
March-23,17.00,2021
March-24,34.00,2021
March-25,26.00,2021
March-26,12.00,2021
March-27,23.00,2021
March-28,39.00,2021
March-29,39.00,2021
March-30,35.00,2021
March-31,26.00,2021
April-01,42.00,2021
April-02,32.00,2021
April-03,40.00,2021
April-04,39.00,2021
April-05,78.00,2021
April-06,105.00,2021
April-07,48.00,2021
April-08,18.00,2021
April-09,66.00,2021
April-10,71.00,2021
April-11,46.00,2021
April-12,54.00,2021
April-13,78.00,2021
April-14,57.00,2021
April-15,23.00,2021
April-16,51.00,2021
April-17,78.00,2021
April-18,86.00,2021
April-19,50.00,2021
April-20,103.00,2021
April-21,69.00,2021
April-22,36.00,2021
April-23,36.00,2021
April-24,29.00,2021
April-25,28.00,2021
April-26,40.00,2021
April-27,47.00,2021
April-28,43.00,2021
April-29,34.00,2021
April-30,29.00,2021
May-01,40.00,2021
May-02,38.00,2021
May-03,23.00,2021
May-04,24.00,2021
May-05,34.00,2021
May-06,20.00,2021
May-07,45.00,2021
May-08,10.00,2021
May-09,16.00,2021
May-10,26.00,2021
May-11,4.00,2021
May-12,16.00,2021
May-13,13.00,2021
May-14,22.00,2021
May-15,2.00,2021
May-16,8.00,2021
May-17,26.00,2021
May-18,11.00,2021
May-19,7.00,2021
May-20,12.00,2021
May-21,16.00,2021
May-22,7.00,2021
May-23,7.00,2021
May-24,34.00,2021
May-25,10.00,2021
May-26,10.00,2021
May-27,11.00,2021
May-28,19.00,2021
May-29,7.00,2021
May-30,9.00,2021
May-31,22.00,2021
June-01,8.00,2021
June-02,23.00,2021
June-03,23.00,2021
June-04,20.00,2021
June-05,5.00,2021
June-06,7.00,2021
June-07,17.00,2021
June-08,37.00,2021
June-09,8.00,2021
June-10,8.00,2021
June-11,3.00,2021
June-12,16.00,2021
June-13,19.00,2021
June-14,8.00,2021
June-15,20.00,2021
June-16,16.00,2021
June-17,29.00,2021
June-18,54.00,2021
June-19,19.00,2021
June-20,28.00,2021
June-21,40.00,2021
June-22,56.00,2021
June-23,40.00,2021
June-24,55.00,2021
June-25,17.00,2021
June-26,82.00,2021
June-27,93.00,2021
June-28,75.00,2021
June-29,102.00,2021
June-30,91.00,2021
July-01,99.00,2021
July-02,92.00,2021
July-03,106.00,2021
July-04,159.00,2021
July-05,178.00,2021
July-06,141.00,2021
July-07,141.00,2021
July-08,123.00,2021
July-09,178.00,2021
July-10,145.00,2021
July-11,194.00,2021
July-12,180.00,2021
July-13,159.00,2021
July-14,166.00,2021
July-15,155.00,2021
July-16,195.00,2021
July-17,169.00,2021
July-18,200.00,2021
July-19,125.00,2021
July-20,136.00,2021
July-21,150.00,2021
July-22,120.00,2021
July-23,86.00,2021
July-24,128.00,2021
July-25,215.00,2021
July-26,255.00,2021
July-27,255.00,2021
July-28,148.00,2021
July-29,138.00,2021
July-30,109.00,2021
July-31,116.00,2021
August-01,141.00,2021
August-02,157.00,2021
August-03,114.00,2021
August-04,135.00,2021
August-05,123.00,2021
August-06,61.00,2021
August-07,67.00,2021
August-08,42.00,2021
August-09,120.00,2021
August-10,96.00,2021
August-11,84.00,2021
August-12,78.00,2021
August-13,41.00,2021
August-14,101.00,2021
August-15,84.00,2021
August-16,84.00,2021
August-17,56.00,2021
August-18,66.00,2021
August-19,43.00,2021
August-20,39.00,2021
August-21,51.00,2021
