Category,Confirmed case,Year
April-09,1.00,2020
April-11,3.00,2020
April-16,2.00,2020
April-19,1.00,2020
April-24,1.00,2020
April-27,1.00,2020
April-28,1.00,2020
April-29,1.00,2020
April-30,2.00,2020
May-03,1.00,2020
May-04,4.00,2020
May-05,10.00,2020
May-07,5.00,2020
May-09,10.00,2020
May-16,2.00,2020
May-18,1.00,2020
May-19,1.00,2020
May-24,1.00,2020
May-25,1.00,2020
May-26,1.00,2020
May-27,1.00,2020
May-28,1.00,2020
May-30,5.00,2020
May-31,1.00,2020
June-02,23.00,2020
June-03,28.00,2020
June-04,10.00,2020
June-05,7.00,2020
June-06,3.00,2020
June-07,1.00,2020
June-08,8.00,2020
June-09,6.00,2020
June-10,8.00,2020
June-11,42.00,2020
June-12,37.00,2020
June-13,23.00,2020
June-14,52.00,2020
June-15,10.00,2020
June-16,16.00,2020
June-17,18.00,2020
June-18,5.00,2020
June-19,40.00,2020
June-20,38.00,2020
June-21,35.00,2020
June-22,31.00,2020
June-23,54.00,2020
June-24,35.00,2020
June-25,53.00,2020
June-26,84.00,2020
June-27,61.00,2020
June-28,51.00,2020
June-29,26.00,2020
June-30,58.00,2020
July-01,78.00,2020
July-02,77.00,2020
July-03,20.00,2020
July-04,40.00,2020
July-05,41.00,2020
July-06,25.00,2020
July-07,31.00,2020
July-08,56.00,2020
July-09,34.00,2020
July-10,16.00,2020
July-11,45.00,2020
July-12,17.00,2020
July-13,53.00,2020
July-14,19.00,2020
July-15,26.00,2020
July-16,24.00,2020
July-17,46.00,2020
July-18,32.00,2020
July-19,13.00,2020
July-20,36.00,2020
July-21,53.00,2020
July-22,11.00,2020
July-23,9.00,2020
July-24,60.00,2020
July-25,48.00,2020
July-26,8.00,2020
July-27,24.00,2020
July-28,54.00,2020
July-29,65.00,2020
July-30,14.00,2020
July-31,50.00,2020
August-01,9.00,2020
August-02,5.00,2020
August-03,15.00,2020
August-04,13.00,2020
August-05,17.00,2020
August-06,22.00,2020
August-07,2.00,2020
August-08,18.00,2020
August-09,13.00,2020
August-10,25.00,2020
August-11,2.00,2020
August-12,16.00,2020
August-13,21.00,2020
August-14,11.00,2020
August-15,15.00,2020
August-16,36.00,2020
August-17,15.00,2020
August-18,20.00,2020
August-19,9.00,2020
August-20,11.00,2020
August-21,4.00,2020
August-22,11.00,2020
August-23,14.00,2020
August-24,7.00,2020
August-25,7.00,2020
August-26,8.00,2020
August-27,9.00,2020
August-28,10.00,2020
August-29,6.00,2020
August-30,4.00,2020
August-31,11.00,2020
September-01,5.00,2020
September-02,14.00,2020
September-03,6.00,2020
September-04,2.00,2020
September-05,4.00,2020
September-06,13.00,2020
September-07,11.00,2020
September-08,9.00,2020
September-09,8.00,2020
September-10,4.00,2020
September-11,11.00,2020
September-12,8.00,2020
September-13,11.00,2020
September-14,13.00,2020
September-15,9.00,2020
September-16,8.00,2020
September-17,4.00,2020
September-18,5.00,2020
September-19,9.00,2020
September-20,8.00,2020
September-21,8.00,2020
September-22,7.00,2020
September-23,7.00,2020
September-24,7.00,2020
September-25,4.00,2020
September-26,2.00,2020
September-27,9.00,2020
September-28,5.00,2020
September-29,2.00,2020
September-30,8.00,2020
October-01,3.00,2020
October-02,3.00,2020
October-03,5.00,2020
October-04,7.00,2020
October-05,6.00,2020
October-06,5.00,2020
October-07,6.00,2020
October-08,7.00,2020
October-09,5.00,2020
October-10,7.00,2020
October-11,9.00,2020
October-12,2.00,2020
October-13,3.00,2020
October-14,7.00,2020
October-15,4.00,2020
October-16,1.00,2020
October-17,5.00,2020
October-19,11.00,2020
October-20,3.00,2020
October-21,4.00,2020
October-22,11.00,2020
October-24,12.00,2020
October-25,9.00,2020
October-26,11.00,2020
October-27,9.00,2020
October-28,9.00,2020
October-29,5.00,2020
October-30,1.00,2020
October-31,19.00,2020
November-01,19.00,2020
November-02,15.00,2020
November-03,15.00,2020
November-04,13.00,2020
November-05,12.00,2020
November-07,11.00,2020
November-08,10.00,2020
November-09,9.00,2020
November-10,6.00,2020
November-11,7.00,2020
November-12,7.00,2020
November-13,1.00,2020
November-14,18.00,2020
November-15,13.00,2020
November-16,11.00,2020
November-17,9.00,2020
November-18,10.00,2020
November-19,6.00,2020
November-20,3.00,2020
November-21,11.00,2020
November-22,6.00,2020
November-23,7.00,2020
November-24,11.00,2020
November-25,8.00,2020
November-26,8.00,2020
November-27,2.00,2020
November-28,7.00,2020
November-29,11.00,2020
November-30,10.00,2020
December-01,5.00,2020
December-02,6.00,2020
December-03,6.00,2020
December-04,3.00,2020
December-05,9.00,2020
December-06,7.00,2020
December-07,6.00,2020
December-08,4.00,2020
December-09,7.00,2020
December-10,8.00,2020
December-11,1.00,2020
December-12,7.00,2020
December-13,11.00,2020
December-14,5.00,2020
December-15,6.00,2020
December-16,5.00,2020
December-17,6.00,2020
December-18,5.00,2020
December-19,12.00,2020
December-20,12.00,2020
December-21,7.00,2020
December-22,4.00,2020
December-23,4.00,2020
December-24,3.00,2020
December-25,5.00,2020
December-26,7.00,2020
December-27,5.00,2020
December-28,6.00,2020
December-29,8.00,2020
December-30,7.00,2020
December-31,9.00,2020
January-01,3.00,2021
January-02,5.00,2021
January-03,5.00,2021
January-04,2.00,2021
January-05,8.00,2021
January-06,7.00,2021
January-07,4.00,2021
January-08,4.00,2021
January-09,4.00,2021
January-10,2.00,2021
January-11,3.00,2021
January-12,3.00,2021
January-13,13.00,2021
January-14,9.00,2021
January-15,1.00,2021
January-16,6.00,2021
January-17,4.00,2021
January-18,2.00,2021
January-19,8.00,2021
January-20,9.00,2021
January-21,6.00,2021
January-22,3.00,2021
January-23,5.00,2021
January-24,3.00,2021
January-25,3.00,2021
January-26,5.00,2021
January-27,3.00,2021
January-28,2.00,2021
January-30,10.00,2021
January-31,5.00,2021
February-01,8.00,2021
February-02,3.00,2021
February-03,4.00,2021
February-04,4.00,2021
February-06,10.00,2021
February-07,1.00,2021
February-08,4.00,2021
February-09,6.00,2021
February-10,5.00,2021
February-11,3.00,2021
February-12,2.00,2021
February-13,6.00,2021
February-14,5.00,2021
February-15,5.00,2021
February-16,4.00,2021
February-17,3.00,2021
February-18,2.00,2021
February-19,6.00,2021
February-20,3.00,2021
February-21,2.00,2021
February-22,6.00,2021
February-23,3.00,2021
February-24,4.00,2021
February-25,14.00,2021
February-26,4.00,2021
February-27,7.00,2021
February-28,7.00,2021
March-01,4.00,2021
March-02,3.00,2021
March-03,7.00,2021
March-04,4.00,2021
March-05,4.00,2021
March-06,10.00,2021
March-07,9.00,2021
March-08,11.00,2021
March-09,10.00,2021
March-10,11.00,2021
March-11,15.00,2021
March-12,9.00,2021
March-13,10.00,2021
March-14,12.00,2021
March-15,12.00,2021
March-16,5.00,2021
March-17,18.00,2021
March-18,17.00,2021
March-19,11.00,2021
March-20,17.00,2021
March-21,24.00,2021
March-22,35.00,2021
March-23,22.00,2021
March-24,49.00,2021
March-25,35.00,2021
March-26,29.00,2021
March-27,40.00,2021
March-28,55.00,2021
March-29,47.00,2021
March-30,43.00,2021
March-31,42.00,2021
April-01,64.00,2021
April-02,44.00,2021
April-03,82.00,2021
April-04,63.00,2021
April-05,56.00,2021
April-06,78.00,2021
April-07,71.00,2021
April-08,51.00,2021
April-09,46.00,2021
April-10,61.00,2021
April-11,80.00,2021
April-12,63.00,2021
April-13,68.00,2021
April-14,21.00,2021
April-15,36.00,2021
April-16,12.00,2021
April-17,58.00,2021
April-18,44.00,2021
April-19,36.00,2021
April-20,49.00,2021
April-21,66.00,2021
April-22,48.00,2021
April-23,31.00,2021
April-24,50.00,2021
April-25,37.00,2021
April-26,50.00,2021
April-27,37.00,2021
April-28,33.00,2021
April-29,19.00,2021
April-30,9.00,2021
May-01,28.00,2021
May-02,24.00,2021
May-03,32.00,2021
May-04,18.00,2021
May-05,25.00,2021
May-06,37.00,2021
May-07,16.00,2021
May-08,17.00,2021
May-09,38.00,2021
May-10,15.00,2021
May-11,32.00,2021
May-12,22.00,2021
May-13,17.00,2021
May-14,13.00,2021
May-15,8.00,2021
May-16,12.00,2021
May-17,25.00,2021
May-18,28.00,2021
May-19,24.00,2021
May-20,9.00,2021
May-21,14.00,2021
May-22,22.00,2021
May-23,19.00,2021
May-24,26.00,2021
May-25,24.00,2021
May-26,17.00,2021
May-27,11.00,2021
May-28,8.00,2021
May-29,17.00,2021
May-30,38.00,2021
May-31,23.00,2021
June-01,16.00,2021
June-02,16.00,2021
June-03,13.00,2021
June-04,7.00,2021
June-05,13.00,2021
June-06,21.00,2021
June-07,20.00,2021
June-08,19.00,2021
June-09,25.00,2021
June-10,30.00,2021
June-11,8.00,2021
June-12,29.00,2021
June-13,18.00,2021
June-14,35.00,2021
June-15,20.00,2021
June-16,20.00,2021
June-17,22.00,2021
June-18,26.00,2021
June-19,16.00,2021
June-20,27.00,2021
June-21,47.00,2021
June-22,27.00,2021
June-23,45.00,2021
June-24,31.00,2021
June-25,30.00,2021
June-26,51.00,2021
June-27,67.00,2021
June-28,47.00,2021
June-29,50.00,2021
June-30,74.00,2021
July-01,45.00,2021
July-02,65.00,2021
July-03,46.00,2021
July-04,73.00,2021
July-05,82.00,2021
July-06,71.00,2021
July-07,90.00,2021
July-08,84.00,2021
July-09,55.00,2021
July-10,112.00,2021
July-11,97.00,2021
July-12,145.00,2021
July-13,121.00,2021
July-14,115.00,2021
July-15,99.00,2021
July-16,80.00,2021
July-17,101.00,2021
July-18,138.00,2021
July-19,155.00,2021
July-20,114.00,2021
July-21,96.00,2021
July-22,131.00,2021
July-23,122.00,2021
July-24,131.00,2021
July-25,154.00,2021
July-26,187.00,2021
July-27,116.00,2021
July-28,278.00,2021
July-29,164.00,2021
July-30,40.00,2021
July-31,174.00,2021
August-01,169.00,2021
August-02,169.00,2021
August-03,255.00,2021
August-04,318.00,2021
August-05,148.00,2021
August-06,127.00,2021
August-07,125.00,2021
August-08,134.00,2021
August-09,99.00,2021
August-10,115.00,2021
August-11,56.00,2021
August-12,70.00,2021
August-13,79.00,2021
August-14,193.00,2021
August-15,170.00,2021
August-16,73.00,2021
August-17,85.00,2021
August-18,73.00,2021
August-19,78.00,2021
August-20,63.00,2021
August-21,71.00,2021
August-22,45.00,2021
August-23,51.00,2021
August-24,39.00,2021
August-25,49.00,2021
August-26,28.00,2021
August-27,23.00,2021
August-28,29.00,2021
August-29,27.00,2021
August-30,27.00,2021
August-31,30.00,2021
September-01,40.00,2021
September-02,28.00,2021
September-03,17.00,2021
September-04,25.00,2021
September-05,22.00,2021
September-06,30.00,2021
September-07,17.00,2021
September-08,18.00,2021
September-09,12.00,2021
September-10,19.00,2021
September-11,11.00,2021
September-12,15.00,2021
September-13,17.00,2021
September-14,11.00,2021
September-15,10.00,2021
September-16,8.00,2021
September-17,13.00,2021
September-18,12.00,2021
September-19,4.00,2021
September-20,6.00,2021
September-21,13.00,2021
September-22,10.00,2021
September-23,12.00,2021
September-24,6.00,2021
September-25,6.00,2021
September-26,20.00,2021
September-27,9.00,2021
September-28,10.00,2021
September-29,9.00,2021
September-30,10.00,2021
October-01,6.00,2021
October-02,19.00,2021
October-03,8.00,2021
October-04,8.00,2021
October-05,11.00,2021
October-06,7.00,2021
October-07,8.00,2021
October-08,8.00,2021
October-09,3.00,2021
October-10,5.00,2021
October-11,4.00,2021
October-12,2.00,2021
October-13,4.00,2021
October-14,3.00,2021
October-15,1.00,2021
October-16,2.00,2021
October-17,1.00,2021
October-18,6.00,2021
October-19,2.00,2021
October-20,4.00,2021
October-21,2.00,2021
October-22,2.00,2021
October-23,3.00,2021
October-24,4.00,2021
October-25,4.00,2021
October-26,2.00,2021
October-27,1.00,2021
October-28,3.00,2021
October-29,1.00,2021
October-30,2.00,2021
October-31,1.00,2021
November-01,2.00,2021
November-02,1.00,2021
November-03,3.00,2021
November-04,2.00,2021
November-05,2.00,2021
November-06,1.00,2021
November-07,1.00,2021
November-08,1.00,2021
November-09,1.00,2021
November-10,4.00,2021
November-11,1.00,2021
November-12,1.00,2021
November-13,2.00,2021
November-14,2.00,2021
November-16,1.00,2021
November-17,2.00,2021
November-19,1.00,2021
November-20,4.00,2021
November-21,2.00,2021
November-22,5.00,2021
November-23,2.00,2021
November-24,1.00,2021
November-25,5.00,2021
November-27,1.00,2021
November-28,2.00,2021
November-30,2.00,2021
December-01,2.00,2021
December-02,2.00,2021
December-03,2.00,2021
December-05,3.00,2021
December-06,1.00,2021
December-07,4.00,2021
December-08,1.00,2021
December-09,1.00,2021
December-10,5.00,2021
December-11,3.00,2021
December-12,2.00,2021
December-13,1.00,2021
December-15,3.00,2021
December-16,5.00,2021
December-17,4.00,2021
December-18,3.00,2021
December-19,3.00,2021
December-20,3.00,2021
December-21,2.00,2021
December-22,6.00,2021
December-23,9.00,2021
December-24,3.00,2021
December-25,5.00,2021
December-26,1.00,2021
December-27,2.00,2021
December-28,1.00,2021
December-29,2.00,2021
December-30,2.00,2021
December-31,2.00,2021
January-01,2.00,2022
January-02,3.00,2022
January-03,2.00,2022
January-04,13.00,2022
January-05,14.00,2022
January-06,13.00,2022
January-07,6.00,2022
January-08,4.00,2022
January-09,12.00,2022
January-10,12.00,2022
January-11,14.00,2022
January-12,18.00,2022
January-13,24.00,2022
January-14,22.00,2022
January-15,24.00,2022
January-16,45.00,2022
January-17,32.00,2022
January-18,62.00,2022
January-19,56.00,2022
January-20,92.00,2022
January-21,67.00,2022
January-22,95.00,2022
January-23,90.00,2022
January-24,100.00,2022
January-25,114.00,2022
January-26,136.00,2022
January-27,145.00,2022
January-28,123.00,2022
January-29,109.00,2022
January-30,139.00,2022
January-31,119.00,2022
February-01,114.00,2022
February-02,97.00,2022
February-03,96.00,2022
February-04,80.00,2022
February-05,92.00,2022
February-06,98.00,2022
February-07,65.00,2022
February-08,75.00,2022
February-09,65.00,2022
February-10,59.00,2022
February-11,49.00,2022
February-12,53.00,2022
February-13,57.00,2022
February-14,31.00,2022
February-15,41.00,2022
February-16,26.00,2022
February-17,40.00,2022
February-18,21.00,2022
February-19,18.00,2022
February-20,35.00,2022
February-21,13.00,2022
February-22,9.00,2022
February-23,32.00,2022
February-24,16.00,2022
February-25,13.00,2022
February-26,15.00,2022
February-27,20.00,2022
February-28,7.00,2022
March-01,6.00,2022
March-02,16.00,2022
March-03,12.00,2022
March-04,5.00,2022
March-05,5.00,2022
March-06,5.00,2022
March-07,5.00,2022
March-08,3.00,2022
March-09,6.00,2022
March-10,9.00,2022
